id,entity_name,entity_description,entity_name_embedding,description_embedding,combined_embedding,dbscan_labels,agg_labels,final_cluster
2976,Cocaine,A stimulant drug considered in the substance use survey.,"[ 0.02000457 -0.03092749 -0.02035067 ... -0.00160936 -0.02014302
  0.02468385]","[ 0.01182758  0.01441031 -0.05711145 ... -0.02231744 -0.05504527
  0.02703257]","[ 0.02000457 -0.03092749 -0.02035067 ... -0.02231744 -0.05504527
  0.02703257]",0,12,DBSCAN_0_AGG_12
2977,ImputationIndicator,Indicator that specifies if the frequency data was imputed.,"[-0.00218084  0.01435861 -0.00450444 ...  0.01956558 -0.02488525
  0.01290847]","[-0.02802475  0.03539694  0.00289691 ... -0.00861395  0.00588206
  0.02828618]","[-0.00218084  0.01435861 -0.00450444 ... -0.00861395  0.00588206
  0.02828618]",0,3,DBSCAN_0_AGG_3
2978,Respondent,Individual who provided the data on substance use.,"[-0.00282311  0.01261525 -0.00940165 ... -0.01554486  0.02668036
  0.01563454]","[-0.00324715 -0.00579366  0.00304265 ... -0.05075943 -0.03883779
  0.0449551 ]","[-0.00282311  0.01261525 -0.00940165 ... -0.05075943 -0.03883779
  0.0449551 ]",0,17,DBSCAN_0_AGG_17
2979,AlcoholUseFrequency,Frequency of binge drinking in the past month.,"[-0.05816082  0.01179703  0.02409404 ... -0.00760793 -0.0192428
  0.02664804]","[-0.01866439  0.04844061  0.01935888 ... -0.04846542 -0.00116962
  0.03874257]","[-0.05816082  0.01179703  0.02409404 ... -0.04846542 -0.00116962
  0.03874257]",0,27,DBSCAN_0_AGG_27
2980,BingeDrinking,"Drinking five or more drinks for males, or four or more drinks for females, on one occasion.","[-0.00378262  0.04027954 -0.01675629 ... -0.02407984 -0.0009841
  0.01183486]","[ 0.00540729  0.00802559  0.03197355 ... -0.01238621 -0.02071453
  0.03357094]","[-0.00378262  0.04027954 -0.01675629 ... -0.01238621 -0.02071453
  0.03357094]",0,27,DBSCAN_0_AGG_27
2981,Sex,"Sex of the respondent, relevant to the definition of binge drinking.","[ 0.04183897  0.00225393 -0.00592363 ...  0.02654489 -0.04492792
  0.02428468]","[-0.00091247  0.04083115 -0.00979235 ... -0.00322126  0.01317517
  0.02577005]","[ 0.04183897  0.00225393 -0.00592363 ... -0.00322126  0.01317517
  0.02577005]",0,15,DBSCAN_0_AGG_15
2982,SurveyPeriod,Time period of the past 30 days relevant to the survey.,"[-0.00941919 -0.01081145  0.02660084 ... -0.02191847  0.0023373
 -0.01669163]","[-0.00714944  0.03395343  0.02362646 ... -0.02372896  0.01911642
  0.01415794]","[-0.00941919 -0.01081145  0.02660084 ... -0.02372896  0.01911642
  0.01415794]",0,23,DBSCAN_0_AGG_23
2983,CrackUseFrequency,"Frequency of crack cocaine use reported in the past month, imputation revised.","[-0.02726547  0.02233544  0.04244635 ... -0.04013164 -0.03796724
  0.04617394]","[-0.01619652  0.03446748  0.01586408 ... -0.04361625 -0.0393876
  0.04058439]","[-0.02726547  0.02233544  0.04244635 ... -0.04361625 -0.0393876
  0.04058439]",0,10,DBSCAN_0_AGG_10
2984,BingeAlcoholFrequency,"Frequency of binge alcohol consumption in the past month, differentiated by gender.","[-0.03475333  0.02858975 -0.00337116 ... -0.00366415  0.00180947
  0.03278561]","[-0.00062294  0.0536591   0.01368495 ... -0.03070597 -0.01152942
  0.03552214]","[-0.03475333  0.02858975 -0.00337116 ... -0.03070597 -0.01152942
  0.03552214]",0,27,DBSCAN_0_AGG_27
2985,Gender,Gender differentiation in binge alcohol frequency definition.,"[ 0.04869919  0.01497281  0.00573061 ...  0.01543602 -0.01432182
  0.00102735]",[0.01519    0.03700783 0.01445752 ... 0.00753099 0.00484288 0.03769053],[0.04869919 0.01497281 0.00573061 ... 0.00753099 0.00484288 0.03769053],0,15,DBSCAN_0_AGG_15
2986,TimePeriod,The past month as the time period for reporting substance use.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[-0.0126432   0.01904672  0.02498602 ... -0.03317816 -0.03366969
  0.02673368]","[-0.06603158 -0.01852301  0.06213481 ... -0.03317816 -0.03366969
  0.02673368]",0,23,DBSCAN_0_AGG_23
2987,CRACK_FREQUENCY_PAST_MONTH,Frequency of crack use in the past month.,"[ 0.00956406 -0.01443048  0.01400854 ... -0.06233517 -0.00996491
  0.03375551]","[-0.01232377  0.0351727   0.03043564 ... -0.06839137 -0.04520936
  0.04728182]","[ 0.00956406 -0.01443048  0.01400854 ... -0.06839137 -0.04520936
  0.04728182]",0,10,DBSCAN_0_AGG_10
2988,IMP_INDICATOR,Imputation indicator for the frequency of crack use.,"[ 0.00271166  0.02852774 -0.0245308  ... -0.02027453 -0.01028982
  0.00610982]","[-0.00401024  0.02984363 -0.00985792 ... -0.02762123 -0.01989046
  0.03260576]","[ 0.00271166  0.02852774 -0.0245308  ... -0.02762123 -0.01989046
  0.03260576]",0,3,DBSCAN_0_AGG_3
2989,BINGE_ALCOHOL_FREQUENCY,"Number of days in the past month on which the respondent reported binge drinking, defined as five or more drinks for males and four or more drinks for females on the same occasion.","[-0.02476801  0.02125726 -0.02289561 ... -0.00272255  0.01239777
  0.0343916 ]","[ 0.00127074  0.03955762  0.02173198 ... -0.02976822 -0.00021767
  0.03816922]","[-0.02476801  0.02125726 -0.02289561 ... -0.02976822 -0.00021767
  0.03816922]",0,27,DBSCAN_0_AGG_27
2990,MALE,Male respondent.,"[ 0.0510636   0.01060171  0.0202557  ... -0.00695582  0.00827485
  0.01294271]","[ 0.03053049  0.02631396  0.00664638 ... -0.00404858  0.03027321
  0.0099267 ]","[ 0.0510636   0.01060171  0.0202557  ... -0.00404858  0.03027321
  0.0099267 ]",0,15,DBSCAN_0_AGG_15
2991,FEMALE,Female respondent.,"[ 0.04241795 -0.02169326  0.00801212 ...  0.00068059  0.0112597
 -0.00183567]","[ 0.03273441  0.0171425  -0.00845639 ...  0.00867893  0.04335874
  0.01127758]","[ 0.04241795 -0.02169326  0.00801212 ...  0.00867893  0.04335874
  0.01127758]",0,15,DBSCAN_0_AGG_15
2992,CrackFrequencyPastMonthDetailedImputationIndicator,Detailed imputation indicator for the frequency of crack use in the past month.,"[-0.01412492  0.02788654  0.00072659 ... -0.03211529 -0.00930762
  0.01871697]","[-0.01371606  0.04781801 -0.00022643 ... -0.04802879 -0.02595663
  0.03815202]","[-0.01412492  0.02788654  0.00072659 ... -0.04802879 -0.02595663
  0.03815202]",0,10,DBSCAN_0_AGG_10
2993,BingeAlcoholFrequency,"Number of days in the past month on which the respondent reported bingedrinking (five or more drinks for males, four or more drinks for females) on the same occasion.","[-0.03475333  0.02858975 -0.00337116 ... -0.00366415  0.00180947
  0.03278561]","[-0.00198206  0.03904715  0.02300993 ... -0.03638719  0.00388018
  0.02781335]","[-0.03475333  0.02858975 -0.00337116 ... -0.03638719  0.00388018
  0.02781335]",0,27,DBSCAN_0_AGG_27
2994,Occasion,'Occasion' means at the same time or within a couple hours of each other.,"[ 0.02832127 -0.01152592 -0.02523858 ... -0.01338617 -0.04522292
 -0.00577435]","[-0.01794619 -0.01271247 -0.01320822 ...  0.00161916 -0.00961049
 -0.00584278]","[ 0.02832127 -0.01152592 -0.02523858 ...  0.00161916 -0.00961049
 -0.00584278]",0,36,DBSCAN_0_AGG_36
2995,Sex,"Gender of the respondent, which influences the criteria for binge drinking.","[ 0.04182154  0.0022373  -0.00594626 ...  0.02655894 -0.044859
  0.02428712]","[ 0.00430848  0.02889215 -0.00327304 ... -0.01283206  0.01310551
  0.02220934]","[ 0.04182154  0.0022373  -0.00594626 ... -0.01283206  0.01310551
  0.02220934]",0,15,DBSCAN_0_AGG_15
2996,SubstanceUse,Frequency of heroin use in the past month.,"[-0.05152125  0.01472578 -0.01722438 ... -0.01237148 -0.09149882
  0.04012946]","[-0.04978701  0.01085553  0.03554777 ... -0.04098183 -0.04402591
  0.01952234]","[-0.05152125  0.01472578 -0.01722438 ... -0.04098183 -0.04402591
  0.01952234]",0,31,DBSCAN_0_AGG_31
2997,Substance,Heroin,"[-0.02615781  0.02583181 -0.04094492 ... -0.01176189 -0.05977437
  0.03437287]","[-0.03272062 -0.02716089 -0.02958721 ... -0.00656492 -0.04384009
 -0.00527897]","[-0.02615781  0.02583181 -0.04094492 ... -0.00656492 -0.04384009
 -0.00527897]",0,31,DBSCAN_0_AGG_31
2998,TimePeriod,Past month,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[-0.01271816  0.01281026 -0.01734643 ... -0.02465342  0.00098533
  0.01115237]","[-0.06603158 -0.01852301  0.06213481 ... -0.02465342  0.00098533
  0.01115237]",0,23,DBSCAN_0_AGG_23
2999,Frequency,Number of days,"[-0.0270766   0.00544017  0.03741845 ... -0.03048706 -0.00420095
  0.03874398]","[-0.03939507 -0.0079922   0.07012157 ... -0.03094736 -0.02788299
  0.06581489]","[-0.0270766   0.00544017  0.03741845 ... -0.03094736 -0.02788299
  0.06581489]",0,23,DBSCAN_0_AGG_23
3000,Sex,Sex of the respondent for determining binge drinking criteria,"[ 0.04183897  0.00225393 -0.00592363 ...  0.02654489 -0.04492792
  0.02428468]","[ 0.01569123  0.03625361 -0.00611342 ...  0.00951832  0.00845451
  0.01408851]","[ 0.04183897  0.00225393 -0.00592363 ...  0.00951832  0.00845451
  0.01408851]",0,15,DBSCAN_0_AGG_15
3001,BingeAlcoholFrequency,Binge alcohol frequency defined in terms of sex-specific consumption,"[-0.03475333  0.02858975 -0.00337116 ... -0.00366415  0.00180947
  0.03278561]","[-0.01593981  0.02801466  0.01883222 ...  0.00139647 -0.00487541
  0.03763917]","[-0.03475333  0.02858975 -0.00337116 ...  0.00139647 -0.00487541
  0.03763917]",0,27,DBSCAN_0_AGG_27
3002,HeroinUse,Frequency of Heroin use in the past month.,"[-0.05339872 -0.03406369  0.00174298 ... -0.00938145 -0.06096843
 -0.01091446]","[-0.04014281 -0.00206666  0.04164224 ... -0.03895904 -0.04458851
  0.01834837]","[-0.05339872 -0.03406369  0.00174298 ... -0.03895904 -0.04458851
  0.01834837]",0,12,DBSCAN_0_AGG_12
3003,ImputationIndicator,Indicator of whether the data was imputed.,"[-0.00218084  0.01435861 -0.00450444 ...  0.01956558 -0.02488525
  0.01290847]","[-0.00680622  0.03407966  0.00084341 ... -0.02439415 -0.0030909
  0.01926   ]","[-0.00218084  0.01435861 -0.00450444 ... -0.02439415 -0.0030909
  0.01926   ]",0,3,DBSCAN_0_AGG_3
3004,Gender,Gender of the respondent.,"[ 0.04869919  0.01497281  0.00573061 ...  0.01543602 -0.01432182
  0.00102735]","[ 0.00893365  0.03214403  0.01810951 ... -0.01949159  0.02249797
  0.01637123]","[ 0.04869919  0.01497281  0.00573061 ... -0.01949159  0.02249797
  0.01637123]",0,15,DBSCAN_0_AGG_15
3005,BingeAlcoholFrequency,Number of days in the past month on which the respondent reported binge drinking.,"[-0.03475333  0.02858975 -0.00337116 ... -0.00366415  0.00180947
  0.03278561]","[-0.01002629  0.04888454  0.02921367 ... -0.04125031  0.01391975
  0.03824751]","[-0.03475333  0.02858975 -0.00337116 ... -0.04125031  0.01391975
  0.03824751]",0,27,DBSCAN_0_AGG_27
3006,HEROIN_FREQUENCY_IN_PAST_MONTH,Frequency of heroin use in the past month.,"[-0.02701946 -0.025257    0.01224251 ... -0.0421824   0.01340049
  0.03344295]","[-0.04978701  0.01085553  0.03554777 ... -0.04098183 -0.04402591
  0.01952234]","[-0.02701946 -0.025257    0.01224251 ... -0.04098183 -0.04402591
  0.01952234]",0,12,DBSCAN_0_AGG_12
3007,IMPUTATION_INDICATOR,Indicates whether the data for heroin use frequency was imputed.,"[-0.00271477  0.01945555 -0.01438565 ... -0.00435061 -0.03089424
  0.01291915]","[-0.05024398  0.0269858   0.0079343  ... -0.02237879 -0.03609481
  0.01030343]","[-0.00271477  0.01945555 -0.01438565 ... -0.02237879 -0.03609481
  0.01030343]",0,3,DBSCAN_0_AGG_3
3008,SUBSTANCE_USE,"Refers to the use of substances including heroin, alcohol, and other drugs.","[-0.00275763  0.02331034 -0.03321651 ... -0.02279593 -0.05308762
  0.03580328]","[-0.01432017  0.00880488  0.01787084 ... -0.02759602 -0.07372864
  0.02647338]","[-0.00275763  0.02331034 -0.03321651 ... -0.02759602 -0.07372864
  0.02647338]",0,31,DBSCAN_0_AGG_31
3009,GENDER,"Refers to the sex of the respondent, categorized into male and female.","[ 0.03695864  0.02610864  0.01020982 ... -0.0080847   0.00643146
  0.00423044]",[0.00653652 0.00783552 0.03492471 ... 0.01465082 0.00149177 0.00305769],[0.03695864 0.02610864 0.01020982 ... 0.01465082 0.00149177 0.00305769],0,15,DBSCAN_0_AGG_15
3010,BINGE_ALCOHOL_FREQUENCY,Frequency of binge drinking in the past month.,"[-0.02476801  0.02125726 -0.02289561 ... -0.00272255  0.01239777
  0.0343916 ]","[-0.01866439  0.04844061  0.01935888 ... -0.04846542 -0.00116962
  0.03874257]","[-0.02476801  0.02125726 -0.02289561 ... -0.04846542 -0.00116962
  0.03874257]",0,27,DBSCAN_0_AGG_27
3011,HallucinogenFrequencyPastMonth,Frequency of hallucinogen use in the past month.,"[-0.03274431 -0.01322746 -0.00823543 ... -0.02517166 -0.01002636
  0.00270049]","[-0.03473481 -0.00079489  0.0157509  ... -0.05260988 -0.03874267
  0.01066091]","[-0.03274431 -0.01322746 -0.00823543 ... -0.05260988 -0.03874267
  0.01066091]",0,30,DBSCAN_0_AGG_30
3012,BingeAlcoholFrequency,Number of days in the past month the respondent reported binge alcohol drinking.,"[-0.03475333  0.02858975 -0.00337116 ... -0.00366415  0.00180947
  0.03278561]","[-0.01746149  0.04811224  0.02144807 ... -0.03512169  0.00703551
  0.03857424]","[-0.03475333  0.02858975 -0.00337116 ... -0.03512169  0.00703551
  0.03857424]",0,27,DBSCAN_0_AGG_27
3013,Male,Male respondents.,"[ 0.07760476 -0.00546517 -0.00129434 ...  0.00970714 -0.03199954
  0.02917374]","[ 0.04354205  0.04808307  0.04644485 ...  0.00313093  0.01539061
 -0.00074546]","[ 0.07760476 -0.00546517 -0.00129434 ...  0.00313093  0.01539061
 -0.00074546]",0,15,DBSCAN_0_AGG_15
3014,Female,Female respondents.,"[ 0.07735073 -0.00661346 -0.01094844 ...  0.0250045  -0.01549887
  0.02051283]",[0.04580556 0.0319526  0.03154257 ... 0.00749758 0.02454288 0.0012017 ],"[ 0.07735073 -0.00661346 -0.01094844 ...  0.00749758  0.02454288
  0.0012017 ]",0,15,DBSCAN_0_AGG_15
3015,HallucinogenFrequencyPastMonthImputationIndicator,Indicates the frequency of hallucinogen use in the past month for imputation purposes.,"[-0.02704068  0.00148712 -0.01975872 ... -0.02450514 -0.02150577
  0.0013586 ]","[-0.03194341  0.01474204  0.00594223 ... -0.04029956 -0.04083055
  0.00607847]","[-0.02704068  0.00148712 -0.01975872 ... -0.04029956 -0.04083055
  0.00607847]",0,30,DBSCAN_0_AGG_30
3016,BingeAlcoholFrequency,Frequency of binge alcohol consumption (defined differently for males and females) in the past month.,"[-0.03475333  0.02858975 -0.00337116 ... -0.00366415  0.00180947
  0.03278561]","[ 0.00963728  0.04305611  0.03181262 ... -0.03274758 -0.02061707
  0.03610384]","[-0.03475333  0.02858975 -0.00337116 ... -0.03274758 -0.02061707
  0.03610384]",0,27,DBSCAN_0_AGG_27
3017,InhalantUsageFrequency,Frequency of inhalant use in the past month.,"[-0.01560891  0.03725347  0.01422996 ... -0.02216437 -0.01978188
 -0.00014394]","[-0.0187709   0.04030372  0.03122515 ... -0.06188769 -0.05534089
  0.0235787 ]","[-0.01560891  0.03725347  0.01422996 ... -0.06188769 -0.05534089
  0.0235787 ]",0,6,DBSCAN_0_AGG_6
3018,Imputation,The process of revising the data for accuracy.,"[ 0.0093426   0.0016285  -0.01322161 ... -0.00516603 -0.01680664
  0.02348915]","[ 0.02113912  0.05215399  0.07355563 ... -0.00711929 -0.00278303
  0.009857  ]","[ 0.0093426   0.0016285  -0.01322161 ... -0.00711929 -0.00278303
  0.009857  ]",0,3,DBSCAN_0_AGG_3
3019,BingeAlcoholFrequency,Number of days in the past month on which the respondent reported drinking five or more drinks on the same occasion for males or four or more drinks for females.,"[-0.03473276  0.02858217 -0.00337559 ... -0.00365056  0.00183885
  0.03273563]","[ 0.00377957  0.02318053  0.01812474 ... -0.0326908  -0.01030178
  0.03244538]","[-0.03473276  0.02858217 -0.00337559 ... -0.0326908  -0.01030178
  0.03244538]",0,27,DBSCAN_0_AGG_27
3020,DrinkingOccasion,"""Occasion"" means at the same time or within a couple of hours of each other.","[-0.00368169 -0.02464164  0.01146265 ...  0.00787674 -0.00807596
  0.01117915]","[-0.0169527  -0.01785964 -0.00996233 ...  0.00101158 -0.01153203
 -0.0019098 ]","[-0.00368169 -0.02464164  0.01146265 ...  0.00101158 -0.01153203
 -0.0019098 ]",0,36,DBSCAN_0_AGG_36
2247,SubstanceUse,Use of the drug [TRNAMEFILL] in ways not directed in the past 12 months.,"[-0.05152125  0.01472578 -0.01722438 ... -0.01237148 -0.09149882
  0.04012946]","[ 0.00105233  0.03491718  0.0085429  ... -0.03852073  0.00032157
  0.03066126]","[-0.05152125  0.01472578 -0.01722438 ... -0.03852073  0.00032157
  0.03066126]",0,31,DBSCAN_0_AGG_31
2248,Respondent,Individual providing information about substance use.,"[-0.00286437  0.01265332 -0.00940965 ... -0.01557562  0.02669679
  0.01563541]","[-0.03186207 -0.01371958  0.01266753 ... -0.03074561 -0.06693038
  0.05290306]","[-0.00286437  0.01265332 -0.00940965 ... -0.03074561 -0.06693038
  0.05290306]",0,17,DBSCAN_0_AGG_17
2249,Drug,[TRNAMEFILL] refers to the name of the tranquilizer used in ways not directed.,"[-0.02704525 -0.01110424 -0.05827365 ... -0.00257453 -0.00874395
  0.04325497]","[ 0.0016916   0.05954133 -0.0178624  ...  0.00324721  0.00615996
  0.00231917]","[-0.02704525 -0.01110424 -0.05827365 ...  0.00324721  0.00615996
  0.00231917]",0,38,DBSCAN_0_AGG_38
2250,TimePeriod,Past 12 months timeframe considered for the questions regarding substance use.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[ 0.00746635  0.00361253  0.04348822 ... -0.00954838 -0.00553599
  0.02898296]","[-0.06603158 -0.01852301  0.06213481 ... -0.00954838 -0.00553599
  0.02898296]",0,23,DBSCAN_0_AGG_23
2251,PrescriptionTranquilizer,Type of prescription tranquilizer used last time in a non-directed manner by a doctor.,"[ 0.00394678  0.04068017 -0.07150011 ...  0.01008922  0.01677047
  0.00049335]","[ 0.00505127  0.02202128 -0.05528691 ... -0.01546431  0.0095016
  0.02091287]","[ 0.00394678  0.04068017 -0.07150011 ... -0.01546431  0.0095016
  0.02091287]",0,38,DBSCAN_0_AGG_38
2252,Doctor,Refers to a medical professional who prescribes medication.,"[-0.01291415 -0.01467306 -0.0191475  ... -0.00384377  0.00908773
  0.03237023]","[-0.0178938  -0.03663297  0.00112277 ... -0.0116885  -0.04280892
  0.0426915 ]","[-0.01291415 -0.01467306 -0.0191475  ... -0.0116885  -0.04280892
  0.0426915 ]",0,21,DBSCAN_0_AGG_21
2253,NonDirectedUse,Usage of prescribed medication in a way not directed by a doctor.,"[ 0.00381947  0.02364374 -0.00393993 ... -0.01477111 -0.03917916
  0.03559023]","[ 0.02311196  0.00272733 -0.01144605 ... -0.02915186 -0.04593939
  0.05980398]","[ 0.00381947  0.02364374 -0.00393993 ... -0.02915186 -0.04593939
  0.05980398]",0,38,DBSCAN_0_AGG_38
2254,TimePeriod,Past 12 months.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[-0.00067027  0.02218435  0.0167064  ... -0.00204742  0.02623149
 -0.01016556]","[-0.06603158 -0.01852301  0.06213481 ... -0.00204742  0.02623149
 -0.01016556]",0,23,DBSCAN_0_AGG_23
2255,Respondent,The individual answering the survey.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.00522657 -0.01398974  0.02396536 ... -0.0331874  -0.00436853
  0.02830778]","[-0.00286051  0.01264529 -0.00938681 ... -0.0331874  -0.00436853
  0.02830778]",0,17,DBSCAN_0_AGG_17
2256,Substance,A substance utilized by the respondent in a manner not directed by a doctor.,"[-0.02615781  0.02583181 -0.04094492 ... -0.01176189 -0.05977437
  0.03437287]","[ 0.00649613  0.03675287 -0.04605814 ... -0.03464602 -0.03599206
  0.04749197]","[-0.02615781  0.02583181 -0.04094492 ... -0.03464602 -0.03599206
  0.04749197]",0,31,DBSCAN_0_AGG_31
2257,ReasonForUse,"The reasoning behind the respondent's use of a substance, specifically to relax.","[-0.00360519  0.00562277  0.00203102 ... -0.00292302 -0.06112287
  0.00614784]","[ 0.0107328   0.01903074 -0.02418427 ... -0.01590874 -0.03973451
  0.03928638]","[-0.00360519  0.00562277  0.00203102 ... -0.01590874 -0.03973451
  0.03928638]",0,4,DBSCAN_0_AGG_4
2258,NonMedicalUse,Use of a substance without a doctor's direction.,"[-0.00766248  0.00726798  0.01477873 ...  0.00708211 -0.05720308
  0.04561073]","[ 0.01840447  0.02882475 -0.00844888 ... -0.05024266 -0.05556545
  0.05415731]","[-0.00766248  0.00726798  0.01477873 ... -0.05024266 -0.05556545
  0.05415731]",0,38,DBSCAN_0_AGG_38
2259,Respondent,The individual who responds to the survey question.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.00598812 -0.01497725 -0.01055215 ... -0.03126049  0.00962823
  0.03262206]","[-0.00286051  0.01264529 -0.00938681 ... -0.03126049  0.00962823
  0.03262206]",0,17,DBSCAN_0_AGG_17
2260,Last_Use_Tranquilizer_For_Experiment,The respondent used the tranquilizer the last time for experimentation.,"[-0.00826052  0.01315803 -0.01708035 ... -0.04755536  0.0002326
 -0.00262623]","[ 0.00422792  0.02816074 -0.02493367 ... -0.02234593  0.01669856
 -0.00422792]","[-0.00826052  0.01315803 -0.01708035 ... -0.02234593  0.01669856
 -0.00422792]",0,38,DBSCAN_0_AGG_38
2261,Tranquilizer,The substance used by the respondent not as directed by a doctor.,"[-0.00716506  0.03337745 -0.09128439 ... -0.00106695  0.00870134
  0.00051594]","[-0.00632393  0.03875214 -0.04885888 ... -0.01837984 -0.0429681
  0.05140001]","[-0.00716506  0.03337745 -0.09128439 ... -0.01837984 -0.0429681
  0.05140001]",0,38,DBSCAN_0_AGG_38
2262,Reason_For_Use,The reason why the respondent used the tranquilizer the last time.,"[-0.01344179  0.00591012 -0.00929404 ... -0.00072436 -0.03758582
  0.00691292]","[ 0.00432681  0.02014895 -0.04229314 ... -0.01242493  0.01673285
  0.00519595]","[-0.01344179  0.00591012 -0.00929404 ... -0.01242493  0.01673285
  0.00519595]",0,4,DBSCAN_0_AGG_4
2263,SubstanceUse,Use of tranquilizers in a manner not directed by a doctor to get high.,"[-0.05152125  0.01472578 -0.01722438 ... -0.01237148 -0.09149882
  0.04012946]","[-0.01284398  0.04095775 -0.02640294 ... -0.03679558 -0.00186244
  0.03541671]","[-0.05152125  0.01472578 -0.01722438 ... -0.03679558 -0.00186244
  0.03541671]",0,31,DBSCAN_0_AGG_31
2264,Substance,Tranquilizers (reported as [TRLASTFILL2] in the dataset),"[-0.02615781  0.02583181 -0.04094492 ... -0.01176189 -0.05977437
  0.03437287]","[-0.01749731  0.04833828 -0.01469359 ... -0.01395372  0.03086692
 -0.01011807]","[-0.02615781  0.02583181 -0.04094492 ... -0.01395372  0.03086692
 -0.01011807]",0,31,DBSCAN_0_AGG_31
2265,IntentionalMisuse,Using tranquilizers to get high without a doctor's direction,"[ 0.02665403  0.0342419   0.00809025 ... -0.00964561 -0.05745566
  0.01792475]","[ 0.00332706  0.01654851 -0.03952611 ... -0.03304558 -0.02619216
  0.02682221]","[ 0.02665403  0.0342419   0.00809025 ... -0.03304558 -0.02619216
  0.02682221]",0,8,DBSCAN_0_AGG_8
2266,MedicationUse,Use of tranquilizers for sleep not directed by a doctor.,"[-0.02526443 -0.03325404  0.00604956 ... -0.00388009 -0.04691195
  0.01182921]","[-0.00840825  0.06211415 -0.0333657  ... -0.02490884 -0.01411906
  0.0157108 ]","[-0.02526443 -0.03325404  0.00604956 ... -0.02490884 -0.01411906
  0.0157108 ]",0,38,DBSCAN_0_AGG_38
2267,ReasonForUse,Reasons for the non-medical use of tranquilizers the last time they were used.,"[-0.00360519  0.00562277  0.00203102 ... -0.00292302 -0.06112287
  0.00614784]","[-0.0029686   0.04117367  0.01586446 ... -0.00728889 -0.02038151
  0.01438615]","[-0.00360519  0.00562277  0.00203102 ... -0.00728889 -0.02038151
  0.01438615]",0,4,DBSCAN_0_AGG_4
2268,DoctorDirections,Use of medication in a manner not directed by a doctor.,"[ 2.34789550e-02 -3.96059155e-02 -1.84837487e-02 ... -5.78450877e-03
 -2.29305197e-02  4.21806399e-05]","[-0.00113441  0.00085322  0.00799241 ... -0.03627521 -0.04174099
  0.04836695]","[ 0.02347896 -0.03960592 -0.01848375 ... -0.03627521 -0.04174099
  0.04836695]",0,21,DBSCAN_0_AGG_21
2269,Respondent,Individual providing information about their drug use behavior.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[-0.01987833 -0.03694152  0.00273076 ... -0.03754476 -0.06434604
  0.04475497]","[-0.00286051  0.01264529 -0.00938681 ... -0.03754476 -0.06434604
  0.04475497]",0,17,DBSCAN_0_AGG_17
2270,SubstanceUse,Use of a tranquilizer in a non-medical way for emotional reasons.,"[-0.05152125  0.01472578 -0.01722438 ... -0.01237148 -0.09149882
  0.04012946]","[-0.00791885  0.02536584 -0.04574074 ... -0.01787944 -0.00367585
  0.01500115]","[-0.05152125  0.01472578 -0.01722438 ... -0.01787944 -0.00367585
  0.01500115]",0,31,DBSCAN_0_AGG_31
2271,Substance,Specific tranquilizer referred by [TRLASTFILL2].,"[-0.02615781  0.02583181 -0.04094492 ... -0.01176189 -0.05977437
  0.03437287]","[-0.00738468  0.03568551 -0.02912609 ...  0.00091152  0.01691789
 -0.00169588]","[-0.02615781  0.02583181 -0.04094492 ...  0.00091152  0.01691789
 -0.00169588]",0,31,DBSCAN_0_AGG_31
2272,ReasonForUse,Reason for using the tranquilizer in a non-medical way.,"[-0.00360519  0.00562277  0.00203102 ... -0.00292302 -0.06112287
  0.00614784]","[-0.00408642  0.03303731 -0.03493998 ... -0.00683593 -0.01781593
  0.02499419]","[-0.00360519  0.00562277  0.00203102 ... -0.00683593 -0.01781593
  0.02499419]",0,4,DBSCAN_0_AGG_4
2273,NonMedicalUse,Use of substances in a way not directed by a doctor.,"[-0.00766248  0.00726798  0.01477873 ...  0.00708211 -0.05720308
  0.04561073]","[ 0.01343768  0.02037437 -0.01014569 ... -0.04824562 -0.05546586
  0.05466361]","[-0.00766248  0.00726798  0.01477873 ... -0.04824562 -0.05546586
  0.05466361]",0,38,DBSCAN_0_AGG_38
2274,NonDirectedTranquilizerUse,Usage of tranquilizers in a way not directed by a doctor.,"[-0.01135806  0.03536119 -0.04773901 ... -0.00453971 -0.00754625
  0.01419933]","[ 0.00349827  0.05300244 -0.02884232 ... -0.02432066 -0.001005
  0.02919014]","[-0.01135806  0.03536119 -0.04773901 ... -0.02432066 -0.001005
  0.02919014]",0,38,DBSCAN_0_AGG_38
2275,LastUsedReason,The reasons for the last non-directed use of the tranquilizer.,"[-0.04130562  0.02661414  0.02022916 ...  0.00100711 -0.04212266
  0.01768728]","[ 0.00335728  0.05078712 -0.01529982 ... -0.0100619   0.0016478
 -0.00300504]","[-0.04130562  0.02661414  0.02022916 ... -0.0100619   0.0016478
 -0.00300504]",0,4,DBSCAN_0_AGG_4
