relationship,source_entity,target_entity,question_code,description
indicates,SmokingBehaviorComparison,RespondentTolerance,CIGLOTMR,The comparison indicates the change in the respondent's tolerance over time.
hasSmokingBehavior,Respondent,Smoking Behavior,CIGWAKE,Relates the respondent to their smoking behavior.
hasFirstCigaretteTime,Smoking Behavior,Time After Waking,CIGWAKE,Relates the smoking behavior to the time after waking for the first cigarette.
involvesCigarette,Smoking Behavior,Cigarette,CIGWAKE,Relates the smoking behavior to the cigarette.
affectedByWakeUpTime,Time After Waking,Wake-Up Time,CIGWAKE,Relates the time after waking to the first cigarette to the time the respondent wakes up.
determinedBy,NicotineDependence,NicotineDependenceSyndromeScale,NDSSDEPND,Nicotine dependence is determined by the Nicotine Dependence Syndrome Scale.
determinedBy,NicotineDependence,FagerstromTestOfNicotineDependence,NDSSDEPND,Nicotine dependence is determined by the Fagerstrom Test of Nicotine Dependence.
hasCriteria,NicotineDependenceSyndromeScale,NicotineDependenceScore,NDSSDEPND,The Nicotine Dependence Syndrome Scale determines dependence based on a specific score.
hasCriteria,FagerstromTestOfNicotineDependence,FagerstromScore,NDSSDEPND,The Fagerstrom Test of Nicotine Dependence determines dependence based on a specific score.
hasTimeFrame,FagerstromTestOfNicotineDependence,TimeToFirstCigarette,NDSSDEPND,The Fagerstrom Test assesses nicotine dependence based on the time to first cigarette after waking.
definedBy,NicotineDependence,SmokingStatus,NDSSDEPND,Determination of nicotine dependence takes into account the smoking status in the past month.
measuredBy,Nicotine Dependence,Nicotine Dependence Syndrome Scale (NDSS),FTNDDEPND,Nicotine dependence is measured by the criteria set forth in the NDSS.
measuredBy,Nicotine Dependence,Fagerstrom Test of Nicotine Dependence (FTND),FTNDDEPND,Nicotine dependence is measured by the criteria set forth in the FTND.
hasCriterion,Nicotine Dependence Syndrome Scale (NDSS),Five aspects of dependence,FTNDDEPND,NDSS includes five aspects of dependence for determining nicotine dependence.
hasCriterion,Fagerstrom Test of Nicotine Dependence (FTND),First cigarette after waking,FTNDDEPND,FTND criterion includes assessing how soon after waking the respondent smokes the first cigarette.
dependsOn,Nicotine Dependence,Cigarette Smoking,FTNDDEPND,Defines nicotine dependence based on respondents’ cigarette smoking behavior.
assessedIn,Respondent,Cigarette Smoking,FTNDDEPND,Respondents' nicotine dependence assessed based on their cigarette smoking.
definedBy,FTNDDEPND,Nicotine Dependence,FTNDDEPND,FTNDDEPND defines whether a respondent has nicotine dependence.
definesCriteria,NDSS,NicotineDependence,PMNICDEP,NDSS defines dependence criteria for nicotine dependence.
definesCriteria,FTND,NicotineDependence,PMNICDEP,FTND defines dependence criteria for nicotine dependence.
hasCigaretteUse,Respondent,CigaretteUse,CIGMON,Indicates whether the respondent smoked cigarettes in the past month.
hasFirstCigaretteTime,Respondent,FirstCigarette,CIGWAKE,Indicates how soon after waking the respondent had their first cigarette.
hasValidResponsesSum,Respondent,SumOfValidResponses,PMNICDEP,Sum of valid responses for NDSS-based dependence.
hasNicotineDependence,Respondent,NicotineDependence,PMNICDEP,Indicates whether the respondent is defined as having nicotine dependence based on NDSS or FTND criteria.
assesses,Question,Substance,IRPMNICDEP,The question assesses nicotine dependence.
uses,AssessmentTool,Nicotine Dependence Syndrome Scale (NDSS),IRPMNICDEP,The NDSS is used to assess nicotine dependence.
uses,AssessmentTool,Fagerstrom Test of Nicotine Dependence (FTND),IRPMNICDEP,The FTND is used to assess nicotine dependence.
relatesTo,Imputation,Question,IRPMNICDEP,The imputation is related to the nicotine dependence variable in the question.
withinTimeFrame,Substance,TimeFrame,IRPMNICDEP,The assessment relates to nicotine use within the past month.
derivedFrom,NicotineDependence,NicotineDependenceCriterion,IIPMNICDEP,Nicotine dependence is derived from the criteria specified by NDSS or FTND.
consumes,Respondent,CigaretteUse,IIPMNICDEP,The respondent has used cigarettes in the past month.
hasIndicator,NicotineDependence,ImputationIndicator,IIPMNICDEP,Nicotine dependence data may have an imputation indicator indicating imputed data.
consumed,Respondent,AlcoholicBeverage,ALCEVER,Indicates whether the respondent has ever had a drink of any alcoholic beverage.
definedBy,AlcoholConsumption,Drink,ALCEVER,The consumption of alcoholic beverages is defined by the type and quantity of a standard drink.
hasFirstDrinkAge,Respondent,Age,ALCTRY,Indicates the age at which the respondent first consumed an alcoholic beverage.
consumes,Respondent,AlcoholConsumption,ALCTRY,The respondent's experience with consuming alcoholic beverages.
hasFirstAlcoholUseYear,AlcoholUse,FirstAlcoholUseYear,ALCYFU,Relates the alcohol use to the specific year it was first used.
takesPlaceIn,Survey,CurrentYear,ALCYFU,Relates the survey to the current year context.
initiatedAlcoholUseIn,Respondent,AlcoholUseInitiationMonth,ALCMFU,Refers to the month in which the respondent first consumed alcohol.
isAlcoholType,Alcohol,AlcoholUseInitiationMonth,ALCMFU,Links the type of substance (alcohol) to the question about the initiation month.
referencedYear,SurveyYear,AlcoholUseInitiationMonth,ALCMFU,Indicates the year referenced in the question for first alcohol use.
hasLastDrinkTimestamp,Respondent,Timestamp,ALCREC,Indicates the time period since the respondent last consumed an alcoholic beverage.
engagedIn,Respondent,AlcoholConsumption,ALCREC,Specifies that the respondent has consumed an alcoholic beverage.
hasUsedAlcohol,Respondent,AlcoholUse,ALCYRTOT,Indicates that the respondent has used alcohol.
during,AlcoholUse,TimePeriod,ALCYRTOT,Specifies the time period during which the alcohol use occurred.
consumes,AlcoholUse,AlcoholicBeverage,ALCYRTOT,Specifies the type of substance being consumed by the respondent.
hasAlcoholConsumption,DrinkingBehavior,AlcoholConsumption,ALTOTFG,Links the behavior of alcohol consumption timing to the actual consumption timeframe.
measuredBy,AlcoholConsumption,TimeSinceLastDrink,ALTOTFG,Measures how long it has been since the last alcoholic drink.
hasRecency,Respondent,TimeSinceLastDrink,ALFQFLG,Indicates the time duration since the Respondent last consumed an alcoholic beverage.
consumed,Respondent,AlcoholConsumption,ALFQFLG,Shows that the Respondent has had an alcoholic beverage in the specified time frame.
hasMeasurement,AlcoholConsumption,TimePeriod,ALBSTWAY,Relates the number of days alcohol was consumed to the past 12 months.
reportsConsumption,Respondent,AlcoholConsumption,ALBSTWAY,Respondent reports how many days they drank alcohol in the past 12 months.
hasTimePeriod,AlcoholConsumption,TimePeriod,ALDAYPYR,Relates alcohol consumption to the past 12 months.
reportedBy,AlcoholConsumption,Respondent,ALDAYPYR,Alcohol consumption information provided by the respondent.
hasTimePeriod,AlcoholConsumption,TimePeriod,ALDAYPMO,Relates the respondent's alcohol consumption to the time period of the past 12 months.
reportedBy,AlcoholConsumption,Respondent,ALDAYPMO,The alcohol consumption data is reported by the respondent.
reports,Individual,AlcoholConsumption,ALDAYPWK,Relates an individual to their reported alcohol consumption frequency in the past 12 months.
hasTimePeriod,AlcoholConsumption,TimePeriod,ALDAYPWK,Relates the reported alcohol consumption to the specific time period of the past 12 months.
hasSurveyPeriod,Survey,SurveyPeriod,ALCDAYS,Relates the survey to the time period of the past 30 days.
reportedBy,AlcoholUse,Respondent,ALCDAYS,Links the alcohol use data to the respondent.
consistsOf,AlcoholUse,AlcoholicBeverage,ALCDAYS,Specifies that alcohol use is comprised of consumption of one or more alcoholic drinks.
during,AlcoholUse,SurveyPeriod,ALCDAYS,Specifies the duration (past 30 days) during which the alcohol use is reported.
hasConsumptionEstimate,Respondent,AlcoholConsumptionEstimate,AL30EST,Associates the respondent with their estimated alcohol consumption.
hasDuration,AlcoholConsumptionEstimate,Past30Days,AL30EST,Specifies the time duration for the alcohol consumption estimate.
consumes,Respondent,Alcohol,AL30EST,Indicates that the respondent consumed alcohol.
hasSurveyResponse,Respondent,AlcoholConsumption,ALDYSFG,Relates the respondent to their reported days of alcohol consumption in the past 30 days.
hasSurveyPeriod,AlcoholConsumption,SurveyPeriod,ALDYSFG,Relates the alcohol consumption data to the specific survey period of the past 30 days.
reports,Respondent,DrinkQuantity,ALCUS30D,Respondent reports the usual number of drinks consumed per day in the past 30 days.
includes,DrinkQuantity,AlcoholType,ALCUS30D,The reported drink quantity includes various types of alcoholic beverages.
occursDuring,DrinkQuantity,SurveyPeriod,ALCUS30D,The drink quantity is evaluated over the past 30 days survey period.
updatedFor,BingeDrinkingThreshold,FemaleRespondent,ALCUS30D,The binge drinking threshold was updated for female respondents in 2015.
hasThreshold,Gender,DrinksThreshold,ALCBNG30D,Relates the gender of the respondent to the corresponding threshold for binge drinking.
reportsBingeDrinking,Respondent,BingeDrinking,ALCBNG30D,Relates the respondent to the reported number of binge drinking days in the past 30 days.
occursWithin,BingeDrinking,Occasion,ALCBNG30D,Relates the binge drinking activity to the occasion during which it occurred.
hasSurveyPeriod,Survey,TimePeriod,ALCBNG30D,Relates the survey to the time period of the past 30 days.
measuredBy,Alcohol,DrinkCount,CADRLAST,The quantity of alcohol consumed is measured by the number of drinks.
occursWithin,Alcohol,SurveyPeriod,CADRLAST,The consumption of alcohol is reported within the survey period of the past 30 days.
hasSocialSetting,AlcoholConsumptionContext,SocialSetting,CADRPEOP,Defines whether the respondent was alone or with others during their last alcohol consumption.
reportedBy,AlcoholConsumptionContext,Respondent,CADRPEOP,Indicates that the information about the alcohol consumption context was reported by the respondent.
hasLocation,AlcoholConsumption,Location,CADRCAR,Indicates the location where alcohol was consumed.
reportedBy,AlcoholConsumption,Respondent,CADRCAR,Indicates that the alcohol consumption instance was reported by the respondent.
occurrence,Alcohol_Consumption,Location,CADRHOME,Where the respondent drank alcoholic beverages the last time they drank.
occurredAt,AlcoholConsumption,Location,CADROTHM,Specifies that the alcohol consumption took place at someone else's home.
performedBy,AlcoholConsumption,Respondent,CADROTHM,Indicates the respondent who consumed alcohol.
drankAtLocation,Respondent,Location,CADRPUBL,Indicates the location where the respondent consumed alcoholic beverages the last time they drank.
consumed,Respondent,AlcoholicBeverage,CADRPUBL,Indicates that the respondent consumed an alcoholic beverage.
consumedAt,AlcoholicBeverageConsumption,Venue,CADRBAR,Relates the consumption of alcoholic beverages to the place where they were consumed.
performedBy,AlcoholicBeverageConsumption,Respondent,CADRBAR,Indicates that the consumption of alcoholic beverages was done by the respondent.
occursAt,Alcohol Consumption,Concert,CADREVNT,Relates the consumption of alcohol to attending a concert.
occursAt,Alcohol Consumption,Sports Game,CADREVNT,Relates the consumption of alcohol to attending a sports game.
relatedToLocation,AlcoholConsumption,School,CADRSCHL,Indicates that the alcohol consumption event took place at a school.
drankAt,Respondent,AlcoholConsumptionLocation,CADROTH,Indicates the location where the respondent consumed alcoholic beverages last time.
consumed,Respondent,AlcoholicBeverages,CADROTH,Refers to the type of alcoholic beverages consumed by the respondent.
during,Respondent,DrinkingOccasion,CADROTH,Specifies the occasion when the respondent last drank alcohol.
involves,DrinkingOccasion,AlcoholConsumptionLocation,CADROTH,Relates the drinking occasion to the place where it occurred.
includes,DrinkingOccasion,AlcoholicBeverages,CADROTH,Describes the types of alcoholic beverages involved in the drinking occasion.
occursAt,Alcohol Consumption,Alcohol Consumption Location,CADROTS2,Relates the act of alcohol consumption to the specific place where it occurred.
involves,Alcohol Consumption,Alcoholic Beverage,CADROTS2,Links the act of alcohol consumption to the alcoholic beverages involved.
performedBy,Alcohol Consumption,Respondent,CADROTS2,Associates the act of alcohol consumption with the respondent who performed it.
hasPaymentStatus,AlcoholConsumption,Payment,CABUYFRE,Indicates whether the respondent paid for the last alcoholic beverage they consumed.
occurredTo,AlcoholConsumption,Respondent,CABUYFRE,Links the alcohol consumption event to the respondent.
madePurchase,Respondent,AlcoholicBeveragePurchase,CAGVMONY,Indicates whether the respondent personally bought the alcoholic beverage.
bioughtBy,AlcoholicBeveragePurchase,ThirdParty,CAGVMONY,Indicates that the alcoholic beverage was bought by someone else for the respondent.
facilitatedBy,Respondent,ThirdParty,CAGVMONY,Indicates that the respondent gave money to someone else to buy the alcoholic beverage.
purchasedAt,AlcoholicBeverage,PlaceOfPurchase,CABUYWHO,Describes that the respondent purchased the alcoholic beverage at a specific type of location.
purchasedFrom,AlcoholicBeverage,PurchasingFromPeople,CABUYWHO,Describes that the respondent purchased the alcoholic beverage from another person.
purchaseMethod,AlcoholicBeverage,AlcoholPurchaseMethod,CABUYWHO,Relates the alcoholic beverage to the method of its purchase.
hasAlcoholicBeveragePurchaseLocation,Respondent,AlcoholicBeveragePurchaseLocation,CABPLACE,Identifies the location where the respondent bought their last alcoholic beverage.
wasBoughtFrom,AlcoholicBeverage,SellerAgeGroup,CABUNDAG,Indicates the age group of the seller from whom the alcoholic beverage was purchased.
isUnder21,SellerAgeGroup,Under21Seller,CABUNDAG,Specifies that the seller of the alcoholic beverage is under age 21.
isOver21,SellerAgeGroup,Over21Seller,CABUNDAG,Specifies that the seller of the alcoholic beverage is 21 or older.
purchasedBy,AlcoholicBeverage,Purchaser,CAGVWHO,Indicates who bought the alcoholic beverage for the respondent.
reportedBy,AlcoholicBeverage,Respondent,CAGVWHO,Indicates that the respondent is reporting about the alcoholic beverage.
acquiredBy,AlcoholicBeverage,Respondent,CAFREWHO,Relationship indicating that the respondent acquired the last alcoholic beverage they drank.
acquiredThrough,Respondent,AcquisitionMethod,CAFREWHO,Relationship indicating the method through which the respondent acquired the last alcoholic beverage they drank.
acquiredLastAlcoholicBeverage,Respondent,AlcoholicBeverageSource,CAFRESP2,Relates the respondent to the method or source through which they acquired their last alcoholic beverage.
consumedAlcoholicBeverage,Respondent,AlcoholicBeverage,CAFRESP2,Indicates that the respondent consumed an alcoholic beverage.
misuses,Respondent,Misuse of Prescription Drugs,CADRKDRUG,Indicates that the respondent possibly misused prescription drugs.
consumes,Respondent,Alcohol,CADRKDRUG,Indicates that the respondent consumes alcohol.
uses,Respondent,Drug,CADRKDRUG,Indicates that the respondent uses other drugs.
duringTimePeriod,Event,Time Period,CADRKDRUG,Indicates the time period during which the alcohol and drug use were assessed.
alsoUsesWhileDrinking,Respondent,Use While Drinking,CADRKDRUG,Indicates that the respondent also uses drugs while drinking alcohol or within a couple of hours of drinking.
usedWith,Alcohol,Drug,CADRKMARJ,"Indicates alcohol was used in conjunction with another drug, in this case, marijuana or cannabis"
relatedTo,Survey,ConcurrentUse,CADRKMARJ,Links the survey to the concurrent use of marijuana or cannabis with alcohol
coUsedWithAlcohol,AlcoholUse,DrugUse,CADRKCOCN,Describes which drugs were used together with alcohol.
partOf,SubstanceUse,DrugUse,CADRKCOCN,Part of the broader category of substance use while drinking alcohol.
partOf,SubstanceUse,AlcoholUse,CADRKCOCN,Part of the broader category of substance use while drinking alcohol.
isUsedWith,HEROIN,Alcohol,CADRKHERN,Indicates that heroin was used in conjunction with alcohol consumption.
isUsedWith,OtherDrugs,Alcohol,CADRKHERN,Indicates that other drugs were used in conjunction with alcohol consumption.
co_usedWithAlcohol,Drug,Alcohol,CADRKHALL,Relation indicating the concurrent use of drugs (including hallucinogens) with alcohol within a certain time period.
typeOf,Hallucinogens,Drug,CADRKHALL,Indicates that hallucinogens are a type of drug.
hasCoUsage,AlcoholUse,Substance,CADRKINHL,Indicates other substances used by the respondent while drinking or within a couple of hours of drinking.
answeredBy,Question,Respondent,CADRKINHL,Indicates that the question regarding co-usage of substances and alcohol is answered by the respondent.
usedWithAlcohol,Respondent,Methamphetamine,CADRKMETH,Indicates that the respondent used methamphetamine while drinking or within a couple of hours of drinking.
usedWithAlcohol,Respondent,Drug,CADRKMETH,Indicates that the respondent used other drugs in addition to methamphetamine while drinking or within a couple of hours of drinking.
duringUsageTimeFrame,Respondent,UsageTimeFrame,CADRKMETH,"Links the respondent's drug use with the specified time frame, 'while drinking or within a couple of hours of drinking'."
reportsConsumption,FemaleRespondents,FemalesWith4+Drinks,CABINGFLG,Relationship indicating that female respondents have reported consuming 4 or more drinks on the same occasion.
reportsConsumption,MaleRespondents,MalesWith5+Drinks,CABINGFLG,Relationship indicating that male respondents have reported consuming 5 or more drinks on the same occasion.
isEditedWithRespectTo,FemalesWith4+Drinks,ALCUS30D,CABINGFLG,The variable relating to female respondents' consumption of 4 or more drinks is edited with respect to ALCUS30D.
isEditedWithRespectTo,MalesWith5+Drinks,ALCUS30D,CABINGFLG,The variable relating to male respondents' consumption of 5 or more drinks is edited with respect to ALCUS30D.
isEditedWithRespectTo,FemalesWith4+Drinks,ALCBNG30D,CABINGFLG,The variable relating to female respondents' consumption of 4 or more drinks is edited with respect to ALCBNG30D.
isEditedWithRespectTo,MalesWith5+Drinks,ALCBNG30D,CABINGFLG,The variable relating to male respondents' consumption of 5 or more drinks is edited with respect to ALCBNG30D.
hasConsumed,Respondent,Drink,CABINGEVR,A relationship indicating that the Respondent has consumed an alcoholic beverage.
hasOccasion,Respondent,Occasion,CABINGEVR,A relationship indicating that the Respondent has had an occasion of drinking 4 or more/5 or more drinks at the same time or within a couple of hours.
hasConsumptionAmount,Occasion,Drink,CABINGEVR,A relationship indicating the number of drinks consumed on a specific occasion.
recordedEarlier,Computer,AlcoholConsumption,CABINGAGE,The computer had previously recorded instances of consuming 4 or 5 or more drinks on the same occasion.
ageAtFirstOccurrence,Respondent,AgeFirstHighAlcoholConsumption,CABINGAGE,Relates the respondent to the age at which they first consumed 4 or 5 or more drinks on the same occasion.
hadFirstHeavyDrinking,Respondent,Occasion,CABINGYFU,Relates the respondent to their first occasion of drinking 4 or 5 drinks.
occurredInYear,Occasion,SurveyYear,CABINGYFU,Relates the occasion to the specific survey year when it first occurred.
occurredInMonth,Occasion,Month,CABINGYFU,Relates the occasion to the specific month within the survey year.
surveyedIn,Respondent,SurveyYear,CABINGYFU,Relates the respondent to the year of the survey.
isEditingIndicatorFor,EditingIndicator,Variable,EIBINGAGE,"Specifies that the editing indicator refers to the CABINGAGE variable, indicating if it has been edited other than to handle bad data or legitimate skips."
indicatesEditingStatus,EditingIndicator,CABINGMFU,EIBINGMFU,Indicates whether the values in CABINGMFU have been logically replaced or cleaned.
assignedWith,CABINGMFU,BadDataCodes,EIBINGMFU,Assigned with bad data codes when applicable.
assignedWith,CABINGMFU,LegitimateSkipCodes,EIBINGMFU,Assigned with legitimate skip codes when the question did not apply.
assignedWith,CABINGMFU,NeverUsedAlcoholCodes,EIBINGMFU,Assigned with codes indicating that the participant never used alcohol when the question did not apply to them.
hasContext,AlcoholUse,SocialContext,UADPEOP,Connects the act of consuming alcohol to the social environment in which it occurred.
performedBy,AlcoholUse,Respondent,UADPEOP,Indicates that the act of alcohol use was carried out by the respondent.
hasEnvironment,AlcoholUseContext,SocialContext,UADPEOP,Specifies the social environment related to the respondent's most recent alcohol use.
hasLocation,AlcoholUse,AlcoholUseLocation,UADCAR,Indicates the location where the respondent's most recent alcohol use occurred.
participatesIn,Respondent,Survey,UADCAR,Indicates that the respondent is a participant in the NSDUH 2022 survey.
reports,Respondent,AlcoholUse,UADCAR,Indicates that the respondent reports their most recent alcohol use.
hasLocationOfUse,AlcoholUse,LocationOfUse,UADHOME,Relates the alcohol use event to the location 'at home'.
occurredAt,Alcohol Use,Location,UADOTHM,Specifies that the most recent alcohol use occurred at someone else's home.
occurredAt,AlcoholUseOccurrence,Location,UADPUBL,Indicates the specific location where the most recent alcohol use occurred.
occursAt,AlcoholUse,Location,UADBAR,"Indicates that the alcohol use event occurred at a specific location such as a restaurant, bar, or club."
reportedBy,AlcoholUse,Respondent,UADBAR,Identifies the respondent as the one who reported the most recent alcohol use event.
occurredAt,AlcoholUse,Location,UADEVNT,Relates the alcohol use event to the location where it occurred (concert or sports game).
associatedWith,AlcoholUse,Event,UADEVNT,Relates the alcohol use event to the type of event (concert or sports game) where it occurred.
hasMostRecentAlcoholUse,Respondent,AlcoholUseLocation,UADSCHL,Indicates the location where the respondent had their most recent alcohol use.
occurredAt,AlcoholUseLocation,School,UADSCHL,Specifies that the location of most recent alcohol use was at a school.
assignsNegativeResponse,SurveyResponse,NegativeResponse,UADROTH,Assigns a negative response if criteria are met for not receiving alcohol from another place.
assignsPositiveResponse,SurveyResponse,PositiveResponse,UADROTH,Assigns a positive response if criteria are met for receiving alcohol from specific locations.
assignsMissingResponse,SurveyResponse,MissingResponse,UADROTH,"Assigns a missing response if the follow-up response is invalid or unknown, or if location/usage details are missing."
providesAlcoholUseStatus,Survey,AlcoholUserStatus,UADROTH,Provides status on whether the respondent is an alcohol user.
indicatesLocation,SurveyResponse,LocationIndication,UADROTH,Indicates the specific location where the most recent alcohol use occurred.
hasLocation,AlcoholUse,Location,UADOTSP2,Indicates the specific location where the respondent's most recent alcohol use occurred.
reportedBy,AlcoholUse,Respondent,UADOTSP2,The alcohol use event is reported by a respondent.
acquiredFrom,Underage Drinker,Alcohol Source,UADPAID,Specifies the source from which the underage drinker obtained their most recent alcohol.
categorizedAs,Alcohol Source,Alcohol Acquisition Location,UADPAID,Categorizes the source of alcohol into specific locations.
specifiedAsOther,Alcohol Acquisition Location,Other-Specify Location,UADPAID,Identifies the alcohol source as a free-text location specified by the respondent.
hasResponse,Survey,Invalid Response,UADPAID,Marks an invalid or unknown response in the survey coding schema.
isUserOf,Individual,Alcohol,UADPAID,Indicates whether the individual is an alcohol user.
isNonUserOf,Individual,Alcohol,UADPAID,Indicates whether the individual is a non-alcohol user.
isParticipatedIn,Respondent,Survey,UADBWHO,Participation of individual respondents in the survey.
hasAgeCategory,Respondent,Age,UADBWHO,Relates respondents to their specific age category.
hasAlcoholUseFrequency,Respondent,FrequencyOfAlcoholUse,UADBWHO,The frequency of alcohol use by the respondent in the past month.
participatesInUnderageDrinking,Respondent,UnderageDrinking,UADBWHO,"Indicates whether the respondent, being underage, consumes alcohol."
hasPaymentMethod,UnderageDrinking,PaymentMethod,UADBWHO,The method by which underage respondents obtained alcohol.
usedAlcoholObtainedVia,UnderageDrinking,AlcoholPurchaseMethod,UADBWHO,Specifies how the alcohol was obtained by the underage respondent.
purchasedAlcoholAt,UnderageDrinker,AlcoholPurchaseLocation,UADPLACE,Indicates where the underage drinker purchased their most recent alcohol.
isUnderage,UnderageDrinker,Age,UADPLACE,Defines the age of the underage drinker (under 21 years old).
isAlcoholUser,UnderageDrinker,AlcoholUser,UADPLACE,Specifies that the underage drinker is also an alcohol user who consumed alcohol within the past month.
isPurchasedBy,Alcohol,Alcohol Purchaser,UADBUND,Relationship indicating who purchased the alcohol for an underage drinker.
hasAgeGroup,Respondent,Respondent Age Group,UADBUND,Indicates the age group of the respondent.
consumedAlcoholIn,Underage Drinker,Alcohol Purchase Location,UADBUND,Specifies the location where the underage drinker consumed or obtained alcohol.
hasPaymentStatus,Underage Drinker,Payment Status,UADBUND,Indicates whether the underage drinker paid for their most recent alcohol.
bought,Purchaser,Alcohol,UADCAG,Relationship indicating the person who bought the alcohol.
consumed,UnderageDrinker,Alcohol,UADCAG,Relationship indicating that the underage individual consumed the alcohol.
reportedBy,Respondent,PastMonthAlcoholUse,UADCAG,Relationship indicating that the past month's alcohol use was reported by the respondent.
gaveAlcohol,Person,UnderageDrinker,UADFWHO,Identifies the person who provided alcohol to the underage drinker during their most recent drinking event.
isCategorizedAs,Respondent,UnderageDrinker,UADFWHO,Defines the respondent as an underage drinker based on age criteria.
didNotUseAlcohol,Respondent,AlcoholNonUser,UADFWHO,Indicates that the respondent did not use alcohol in the past month.
paidForAlcohol,Respondent,SelfPaidAlcohol,UADFWHO,Indicates that the respondent who is under 21 paid for the alcohol themselves.
ProvidedAlcohol,FriendProvider,AlcoholUse,UADFRD,Indicates that alcohol was provided by a friend.
ProvidedAlcohol,NonFriendProvider,AlcoholUse,UADFRD,Indicates that alcohol was provided by a non-friend.
ExperiencedAlcoholUse,SurveyRespondent,AlcoholUse,UADFRD,Indicates that the survey respondent has consumed alcohol.
ReceivedAlcoholFrom,AlcoholUse,AlcoholSource,UADFRD,Indicates the source from which the respondent received their most recent alcohol.
HasUseStatus,SurveyRespondent,AlcoholUseStatus,UADFRD,Indicates the respondent's alcohol use status within the past month.
isConcurrentWith,Substance,Alcohol,CADRKMARJ2,The concurrent or near-concurrent usage of marijuana and alcohol.
hasSubstanceUseBehavior,Respondent,SubstanceUseBehavior,CADRKMARJ2,The respondent's behavior regarding the concurrent use of marijuana and alcohol.
experienced,Respondent,ConcurrentUse,CADRKCOCN2,Indicates whether the respondent used cocaine at the same time or within a couple of hours of their last alcohol use.
involves,ConcurrentUse,Substance,CADRKCOCN2,Specifies the substance (Cocaine) used concurrently with alcohol.
accompaniedBy,AlcoholUse,ConcurrentUse,CADRKCOCN2,The simultaneous or near-simultaneous use of other substances during the last alcohol use.
usedWith,Heroin,AlcoholUse,CADRKHERN2,Defines that heroin was used at the same time or within a couple of hours of last alcohol use.
definesSpecificDrugsUsed,Variables,DrugsUsedWithAlcohol,CADRKHERN2,Variables that define specific drugs used at the same time or within a couple hours of the respondent's last alcohol use.
concurrentUse,AlcoholUse,HallucinogenUse,CADRKHALL2,Indicates that hallucinogens were used at the same time or within a couple of hours of the last alcohol use.
coOccursWith,AlcoholUse,InhalantUse,CADRKINHL2,Relates alcohol use and inhalant use that occurred at the same time or within a couple of hours.
usedWith,Methamphetamine,Alcohol,CADRKMETH2,Indicates that methamphetamine was used together with alcohol.
reportedBy,SubstanceUseInstance,Respondent,CADRKMETH2,Indicates the respondent reported the instance of using methamphetamine with alcohol.
associatedWith,CBD_HEMP_Usage,CBD_Hemp_Products,CBDHMPEVR,Links the usage of CBD or hemp products to the types of products used.
reasonForUsage,CBD_HEMP_Usage,Usage_Reason,CBDHMPEVR,Associates the reason for using CBD or hemp products with the usage itself.
hasLastUsageTime,CBD or Hemp Product Usage,Time Since Last Use,CBDHMPREC,Relates the usage of CBD or hemp products to the time since it was last used.
hasUsedSubstance,Respondent,SubstanceUse,MJEVER,Indicates whether the respondent has ever used marijuana or cannabis products.
includes,SubstanceUse,Marijuana,MJEVER,Substance use includes marijuana.
includes,SubstanceUse,CannabisProduct,MJEVER,Substance use includes various cannabis products.
excludes,SubstanceUse,CBD,MJEVER,Substance use excludes CBD products.
excludes,SubstanceUse,HempProduct,MJEVER,Substance use excludes hemp products.
canUseBy,CannabisProduct,MethodOfUse,MJEVER,Cannabis products can be used by various methods.
canUseBy,Marijuana,MethodOfUse,MJEVER,Marijuana can be used by various methods.
UsedAtAge,MarijuanaOrCannabis,AgeWhenFirstUsedMarijuanaOrCannabis,MJAGE,Relates the use of marijuana or cannabis to the age when it was first used.
hasYear,Marijuana/Cannabis Use,Year,MJYFU,Relates the first use of marijuana/cannabis to the specific year.
hasMonth,Marijuana/Cannabis Use,Month,MJYFU,Relates the first use of marijuana/cannabis to the specific month within a year.
firstUseInCurrentYear,Marijuana/Cannabis Use,Current Year,MJMFU,Indicates the first use of marijuana or any cannabis product in the current year.
firstUseInPreviousYear,Marijuana/Cannabis Use,Previous Year of First Use,MJMFU,Indicates the first use of marijuana or any cannabis product in a previously recorded year.
used,Respondent,Marijuana/Cannabis,MJREC,Indicates that the respondent has used marijuana or any cannabis product.
timeElapsedSinceUsage,Respondent,UsageTime,MJREC,Relates the respondent to the time period since they last used marijuana or any cannabis product.
usedInTimePeriod,MarijuanaUsage,TimePeriod,MJYRTOT,Specifies the duration in which marijuana/cannabis was used.
refersToProduct,MarijuanaUsage,MarijuanaCannabisProduct,MJYRTOT,Usage refers to marijuana or any cannabis product.
hasTimeSinceLastUse,MarijuanaUse,TimeSinceLastUse,MRTOTFG,Relates marijuana use to the time period since it was last used.
hasRecentUseTimeFrame,SubstanceUse,Recency,MJFQFLG,Relates the use of marijuana or any cannabis product to the length of time since it was last used.
usedDuring,Substance,SurveyPeriod,MRBSTWAY,Relates the use of marijuana or any cannabis product to the survey period of the past 12 months.
reportedBy,UsageFrequency,EasiestWayToReport,MRBSTWAY,Relates the frequency of marijuana use to the method the respondent finds easiest to report.
measuredIn,UsageFrequency,Days,MRBSTWAY,The frequency of marijuana use is measured in terms of days.
hasUsageFrequency,Marijuana/Cannabis,UsageFrequency,MRDAYPYR,Frequency of marijuana/cannabis use over the past 12 months.
