id,relation_name,relation_description,relation_name_embedding,description_embedding,combined_embedding,dbscan_labels,agg_labels,final_cluster
2137,differentiatedBy,Differentiates binge alcohol use frequency by gender.,"[-0.00958819  0.00663422  0.0491903  ...  0.01159765 -0.02859901
  0.01517253]","[-0.01959614  0.02346484  0.00216036 ...  0.00726546 -0.02032733
  0.02805145]","[-0.00958819  0.00663422  0.0491903  ...  0.00726546 -0.02032733
  0.02805145]",0,36,DBSCAN_0_AGG_36
2138,reportedIn,Indicates the time period (past month) for reporting the frequency of substance use.,"[-0.03783907  0.02722415  0.02314989 ... -0.01501699  0.00378547
  0.01109884]","[-0.02636878  0.02306652  0.03487086 ... -0.03533909 -0.02177272
  0.03970103]","[-0.03783907  0.02722415  0.02314989 ... -0.03533909 -0.02177272
  0.03970103]",0,34,DBSCAN_0_AGG_34
2139,hasFrequency,CRACK_FREQUENCY_PAST_MONTH is related to the number of binge drinking days in the past month.,"[-0.06457784 -0.00980745  0.02644878 ... -0.00606182  0.01161912
  0.00624528]","[-0.01000439  0.02103255  0.0110152  ... -0.04390528 -0.01500659
  0.04867421]","[-0.06457784 -0.00980745  0.02644878 ... -0.04390528 -0.01500659
  0.04867421]",0,41,DBSCAN_0_AGG_41
2140,imputedBy,IMP_INDICATOR imputes the values of CRACK_FREQUENCY_PAST_MONTH.,"[-0.00528108  0.02439261  0.02506221 ...  0.00191115 -0.01427685
  0.01347173]","[ 0.00549693  0.0392638  -0.00373345 ... -0.04500444  0.0108517
  0.02202835]","[-0.00528108  0.02439261  0.02506221 ... -0.04500444  0.0108517
  0.02202835]",0,1,DBSCAN_0_AGG_1
2141,definedBy,Binge drinking for males is defined as five or more drinks on the same occasion.,"[-0.01321992  0.00708792  0.06797601 ...  0.01848098 -0.02316849
 -0.00583107]","[-0.00641024  0.03095078 -0.00302172 ...  0.00552235 -0.02214763
  0.01970231]","[-0.01321992  0.00708792  0.06797601 ...  0.00552235 -0.02214763
  0.01970231]",0,36,DBSCAN_0_AGG_36
2142,definedBy,Binge drinking for females is defined as four or more drinks on the same occasion.,"[-0.01321992  0.00708792  0.06797601 ...  0.01848098 -0.02316849
 -0.00583107]","[ 0.00909338  0.0058272   0.02596421 ... -0.00144573 -0.01062762
  0.02702639]","[-0.01321992  0.00708792  0.06797601 ... -0.00144573 -0.01062762
  0.02702639]",0,36,DBSCAN_0_AGG_36
2143,comparability,BINGE_ALCOHOL_FREQUENCY among males is comparable to IRALCD5 from 2002-2014.,"[ 0.00394494 -0.03888006 -0.01725743 ...  0.0120314   0.00386699
 -0.00899474]","[-0.00370845  0.02846672 -0.02203919 ... -0.00587484 -0.00146956
  0.02912175]","[ 0.00394494 -0.03888006 -0.01725743 ... -0.00587484 -0.00146956
  0.02912175]",0,4,DBSCAN_0_AGG_4
2144,hasDetailedImputationIndicator,The respondent has a detailed imputation indicator for the frequency of crack use in the past month.,"[-0.00282443  0.01618384  0.00718206 ...  0.00208686 -0.0214494
  0.01146807]","[-0.00716077  0.05307082  0.01056109 ... -0.04009121 -0.01887805
  0.01739207]","[-0.00282443  0.01618384  0.00718206 ... -0.04009121 -0.01887805
  0.01739207]",0,1,DBSCAN_0_AGG_1
2145,hasBingeAlcoholFrequency,The respondent has a recorded frequency of binge drinking in the past month.,"[-0.04051623  0.00567819  0.00957455 ... -0.0075857  -0.00909397
  0.02879018]","[-0.01153795  0.05148549  0.01555896 ... -0.01810145  0.01431534
  0.02148683]","[-0.04051623  0.00567819  0.00957455 ... -0.01810145  0.01431534
  0.02148683]",0,36,DBSCAN_0_AGG_36
2146,occursInTimespan,Binge drinking occurs on multiple occasions within a specific month.,"[-0.03797263  0.00303704  0.07878548 ...  0.00298108  0.00165648
  0.02303055]","[-0.01506827  0.04438737  0.0196051  ... -0.02722098 -0.00571191
  0.03703035]","[-0.03797263  0.00303704  0.07878548 ... -0.02722098 -0.00571191
  0.03703035]",0,13,DBSCAN_0_AGG_13
2147,categorizedBySex,The measured frequency of binge drinking is categorized differently based on the sex of the respondent.,"[ 0.01451843  0.02252471  0.01529368 ...  0.02758501 -0.04674088
 -0.0042921 ]","[-0.00350135  0.02784049  0.01596447 ...  0.00300855  0.00716698
  0.04068994]",[0.01451843 0.02252471 0.01529368 ... 0.00300855 0.00716698 0.04068994],0,36,DBSCAN_0_AGG_36
2148,involvesSubstance,Relates substance use to the specific substance.,"[-0.05866766  0.03049333 -0.00396037 ...  0.00443471 -0.06728109
  0.03586919]","[-0.0472213  -0.0028116  -0.00444063 ...  0.01300494 -0.06450669
  0.04855723]","[-0.05866766  0.03049333 -0.00396037 ...  0.01300494 -0.06450669
  0.04855723]",0,43,DBSCAN_0_AGG_43
2149,hasTimePeriod,Specifies the time period for substance use frequency.,"[-5.19248545e-02 -3.63815599e-03  7.48811066e-02 ...  1.77364368e-02
  5.47431468e-04  9.43166306e-05]","[-0.04669029 -0.00341184  0.03053988 ... -0.01555924 -0.03360896
  0.04935687]","[-0.05192485 -0.00363816  0.07488111 ... -0.01555924 -0.03360896
  0.04935687]",0,13,DBSCAN_0_AGG_13
2150,hasFrequency,Relates substance use to the number of days within the specified time period.,"[-0.06457784 -0.00980745  0.02644878 ... -0.00606182  0.01161912
  0.00624528]","[-0.06366428 -0.00465878  0.02344153 ... -0.01276444 -0.05976423
  0.06987141]","[-0.06457784 -0.00980745  0.02644878 ... -0.01276444 -0.05976423
  0.06987141]",0,41,DBSCAN_0_AGG_41
2151,determinesCriteria,Determines binge alcohol frequency criteria based on sex.,"[-0.02023955  0.00328302  0.0293298  ...  0.01644177 -0.03163287
 -0.01967522]","[-0.025231    0.03372573  0.01103302 ...  0.00619065 -0.024003
  0.02977587]","[-0.02023955  0.00328302  0.0293298  ...  0.00619065 -0.024003
  0.02977587]",0,36,DBSCAN_0_AGG_36
2152,historicalComparison,Compares current definition of binge alcohol frequency to past definitions over time.,"[-0.02094996 -0.03113226  0.03191789 ... -0.003776   -0.00687421
 -0.03817207]","[-0.03352412  0.00782546  0.01856429 ...  0.00567092 -0.00095277
  0.012392  ]","[-0.02094996 -0.03113226  0.03191789 ...  0.00567092 -0.00095277
  0.012392  ]",0,4,DBSCAN_0_AGG_4
2153,measuresFrequency,Measures the frequency of heroin use in the past month.,"[-0.04020957 -0.01556927  0.0570785  ... -0.01994565  0.00258106
  0.01149129]","[-0.0541479   0.01194439  0.02327229 ... -0.0298995  -0.05175902
  0.01093618]","[-0.04020957 -0.01556927  0.0570785  ... -0.0298995  -0.05175902
  0.01093618]",0,41,DBSCAN_0_AGG_41
2154,isIndicatedBy,Indicates whether the frequency data was imputed.,"[-0.03738409  0.04226287  0.01400033 ...  0.00222426 -0.03310392
  0.01461392]","[-0.02798684  0.02936409  0.0097902  ... -0.01205097 -0.00058631
  0.02420589]","[-0.03738409  0.04226287  0.01400033 ... -0.01205097 -0.00058631
  0.02420589]",0,1,DBSCAN_0_AGG_1
2155,isQualifiedBy,Binge drinking frequency is qualified by the gender of the respondent.,"[-0.03801858  0.06519981  0.01124008 ... -0.00385531 -0.00860397
 -0.00725297]","[-0.01754707  0.04765221  0.01513813 ... -0.01562519  0.00571958
  0.02341803]","[-0.03801858  0.06519981  0.01124008 ... -0.01562519  0.00571958
  0.02341803]",0,36,DBSCAN_0_AGG_36
2156,occursIn,Binge drinking frequency occurs in the past month.,"[-0.0477991   0.03065949  0.06744469 ...  0.00404127 -0.00315954
  0.02730272]","[-0.03194062  0.04912267 -0.00890416 ... -0.03145049 -0.00143893
  0.02763831]","[-0.0477991   0.03065949  0.06744469 ... -0.03145049 -0.00143893
  0.02763831]",0,35,DBSCAN_0_AGG_35
2157,hasFrequency,Indicates how often heroin was used in the context of overall substance use.,"[-0.06457784 -0.00980745  0.02644878 ... -0.00606182  0.01161912
  0.00624528]","[-0.06072441 -0.00493993  0.03322705 ... -0.02821358 -0.06548209
  0.03002968]","[-0.06457784 -0.00980745  0.02644878 ... -0.02821358 -0.06548209
  0.03002968]",0,41,DBSCAN_0_AGG_41
2158,hasImputationIndicator,Relates the heroin use frequency variable to its imputation status.,"[ 0.008736    0.01025289  0.01095971 ...  0.00958577 -0.03090956
  0.00221775]","[-0.07654662  0.00848759  0.01566727 ... -0.00320264 -0.06085181
  0.01497891]","[ 0.008736    0.01025289  0.01095971 ... -0.00320264 -0.06085181
  0.01497891]",0,1,DBSCAN_0_AGG_1
2159,hasFrequency,Shows different binge alcohol frequencies based on gender.,"[-0.06457784 -0.00980745  0.02644878 ... -0.00606182  0.01161912
  0.00624528]","[-0.01961279  0.01681883 -0.00016226 ... -0.00813415 -0.01293068
  0.01085241]","[-0.06457784 -0.00980745  0.02644878 ... -0.00813415 -0.01293068
  0.01085241]",0,41,DBSCAN_0_AGG_41
2160,comparableTo,Relates the current binge alcohol frequency variable to a previous version of the variable.,"[-0.01755979 -0.02001701 -0.02470154 ...  0.02777666  0.00250572
  0.0123364 ]","[-0.04242964  0.03249693 -0.00912585 ... -0.01110126 -0.00153894
  0.0247483 ]","[-0.01755979 -0.02001701 -0.02470154 ... -0.01110126 -0.00153894
  0.0247483 ]",0,4,DBSCAN_0_AGG_4
2161,isDefinedAs,Binge alcohol frequency defined as drinking five or more drinks for males or four or more drinks for females on the same occasion.,"[-0.05248234 -0.02096834  0.03563388 ...  0.0101306  -0.04033792
  0.0454724 ]","[-0.00388198  0.01761392 -0.02199689 ... -0.00446207 -0.02528997
  0.02927449]","[-0.05248234 -0.02096834  0.03563388 ... -0.00446207 -0.02528997
  0.02927449]",0,36,DBSCAN_0_AGG_36
2162,hasComparison,Comparison between current binge alcohol frequency definition and previous definitions (2002-2014).,"[-0.01012513 -0.0552109  -0.00313378 ... -0.01355234 -0.01269945
 -0.00206571]","[-0.0447559   0.00898664  0.02727355 ... -0.00668543  0.00328476
  0.0258826 ]","[-0.01012513 -0.0552109  -0.00313378 ... -0.00668543  0.00328476
  0.0258826 ]",0,4,DBSCAN_0_AGG_4
2163,includesRespondent,Survey includes male respondents regarding binge alcohol frequency.,"[-0.01102949  0.02799156 -0.00093214 ... -0.00819871  0.0254017
  0.01293424]","[-0.01805284  0.04022459  0.0310222  ... -0.00430466 -0.00022872
  0.02236727]","[-0.01102949  0.02799156 -0.00093214 ... -0.00430466 -0.00022872
  0.02236727]",0,46,DBSCAN_0_AGG_46
2164,includesRespondent,Survey includes female respondents regarding binge alcohol frequency.,"[-0.01102949  0.02799156 -0.00093214 ... -0.00819871  0.0254017
  0.01293424]","[-0.01343301  0.02256641  0.03067052 ... -0.00459927  0.00448201
  0.01943943]","[-0.01102949  0.02799156 -0.00093214 ... -0.00459927  0.00448201
  0.01943943]",0,46,DBSCAN_0_AGG_46
2165,hasFrequencyIndicator,Relates a survey respondent to their imputation-indicated frequency of hallucinogen use in the past month.,"[-0.04255332  0.01812509  0.00858482 ... -0.00909107 -0.00487709
 -0.00078254]","[-0.02716546 -0.00560879 -0.01921855 ... -0.02013758 -0.04019407
 -0.00122903]","[-0.04255332  0.01812509  0.00858482 ... -0.02013758 -0.04019407
 -0.00122903]",0,41,DBSCAN_0_AGG_41
2166,definesBingeAlcohol,Defines the criteria for binge alcohol frequency based on sex in the given question.,"[-0.02509679  0.03324118 -0.01918456 ...  0.00505254 -0.00943392
  0.02895783]","[-0.00794591  0.02444995  0.02296215 ...  0.0075575   0.00259213
  0.04442334]","[-0.02509679  0.03324118 -0.01918456 ...  0.0075575   0.00259213
  0.04442334]",0,36,DBSCAN_0_AGG_36
2167,comparesToPreviousYears,Compares the current binge alcohol frequency definition to that used in past surveys (2002-2014).,"[-0.03104298 -0.01711991  0.03034192 ...  0.00107876  0.00234855
 -0.02425671]","[-0.04680401  0.01862637  0.02284181 ... -0.0125693  -0.01886445
  0.01441093]","[-0.03104298 -0.01711991  0.03034192 ... -0.0125693  -0.01886445
  0.01441093]",0,4,DBSCAN_0_AGG_4
2168,isRevisedBy,The inhalant usage frequency data is revised by imputation for accuracy.,"[-0.00046178  0.02944598  0.04024591 ...  0.00995379 -0.03166135
  0.02033834]","[-0.00611159  0.04046293  0.03189719 ... -0.02097927 -0.03333841
  0.00627814]","[-0.00046178  0.02944598  0.04024591 ... -0.02097927 -0.03333841
  0.00627814]",0,4,DBSCAN_0_AGG_4
2169,relatesTo,Specifies the context in which binge drinking occurs.,"[-0.06072039 -0.00795184  0.06623489 ...  0.04822899 -0.00083641
  0.01925504]","[-0.02020157  0.00503306  0.0379906  ... -0.02171288  0.00717523
  0.03865613]","[-0.06072039 -0.00795184  0.06623489 ... -0.02171288  0.00717523
  0.03865613]",0,14,DBSCAN_0_AGG_14
2170,isSpecifiedBy,The frequency of binge drinking is specified differently for males and females.,"[-0.03109815  0.0283526   0.02230422 ...  0.00024232 -0.03313693
  0.0180092 ]","[ 0.03128342  0.02599112  0.02141621 ...  0.00358701 -0.0084971
  0.03704616]","[-0.03109815  0.0283526   0.02230422 ...  0.00358701 -0.0084971
  0.03704616]",0,36,DBSCAN_0_AGG_36
2171,occursWithinTimePeriod,Relates the binge drinking frequency to the 30-day reference period.,"[-0.06648317  0.01398917  0.0693991  ... -0.00571522 -0.00429735
  0.03254176]","[-0.03621212  0.04098848  0.006415   ...  0.00621706 -0.0004636
  0.02759389]","[-0.06648317  0.01398917  0.0693991  ...  0.00621706 -0.0004636
  0.02759389]",0,13,DBSCAN_0_AGG_13
2172,definedBy,Binge drinking frequency is defined by the number of drinks consumed on an occasion.,"[-0.01321992  0.00708792  0.06797601 ...  0.01848098 -0.02316849
 -0.00583107]","[-0.02554061  0.00963588  0.00235227 ... -0.00776337 -0.00173585
  0.03342609]","[-0.01321992  0.00708792  0.06797601 ... -0.00776337 -0.00173585
  0.03342609]",0,36,DBSCAN_0_AGG_36
2173,differentiatedBySex,Binge drinking thresholds differ based on the respondent's sex.,"[ 0.0148225   0.01063873  0.04168301 ...  0.02859027 -0.04536755
  0.00542484]",[0.00642285 0.03014526 0.01605398 ... 0.00034383 0.00663674 0.02146403],[0.0148225  0.01063873 0.04168301 ... 0.00034383 0.00663674 0.02146403],0,36,DBSCAN_0_AGG_36
2174,definedAsOccasion,The term 'occasion' is defined for the purpose of binge drinking measurement.,"[-0.00998299 -0.01228049  0.00115153 ...  0.01107986 -0.03219459
  0.01486702]","[ 0.00507535  0.01675586 -0.03642693 ...  0.00923148  0.00305965
  0.01202194]","[-0.00998299 -0.01228049  0.00115153 ...  0.00923148  0.00305965
  0.01202194]",0,36,DBSCAN_0_AGG_36
2175,definesFrequency,Defines the frequency of methamphetamine use in the context of the past 30 days.,"[-0.05362564  0.01176108  0.05812153 ...  0.00710269  0.00688941
  0.03138996]","[-0.01185022  0.01752049  0.0250766  ... -0.03002057 -0.04464858
  0.02958733]","[-0.05362564  0.01176108  0.05812153 ... -0.03002057 -0.04464858
  0.02958733]",0,41,DBSCAN_0_AGG_41
2176,consumes,Indicates that the respondent engages in substance use behavior.,"[ 0.02523226  0.02570689  0.04360526 ... -0.01015108  0.01750029
 -0.00166123]","[-0.0116084   0.01072962  0.00521244 ... -0.02501689 -0.04796439
  0.03285504]","[ 0.02523226  0.02570689  0.04360526 ... -0.02501689 -0.04796439
  0.03285504]",0,36,DBSCAN_0_AGG_36
2177,hasGender,Indicates the gender of the respondent.,"[-0.00296433  0.02363796  0.02804036 ... -0.01447269 -0.01411989
  0.02426688]","[ 0.02275932  0.03491311  0.02424307 ... -0.0189661  -0.00130795
  0.01429554]","[-0.00296433  0.02363796  0.02804036 ... -0.0189661  -0.00130795
  0.01429554]",0,32,DBSCAN_0_AGG_32
2178,hasBingeDrinkingFrequency,Indicates the respondent's binge drinking frequency based on gender-specific definitions.,"[-0.05008038  0.01509073  0.04113021 ... -0.01868238 -0.00847224
  0.02208577]","[-0.00704556  0.03559995  0.0265675  ... -0.008244   -0.00107781
  0.02845978]","[-0.05008038  0.01509073  0.04113021 ... -0.008244   -0.00107781
  0.02845978]",0,36,DBSCAN_0_AGG_36
2179,occursAt,Relates substance use to specific occasions or instances of use.,"[-0.03948963  0.01467704  0.06807972 ...  0.02422687 -0.01444784
 -0.00495318]","[-0.0332338  -0.02065885 -0.0055832  ... -0.00840371 -0.04316856
  0.03726214]","[-0.03948963  0.01467704  0.06807972 ... -0.00840371 -0.04316856
  0.03726214]",0,35,DBSCAN_0_AGG_35
2180,isRelatedTo,Indicates the frequency of methamphetamine use in the past month.,"[-0.07861263 -0.00178027  0.01128954 ...  0.04753632 -0.0251042
  0.03051516]","[-0.00378663  0.04145233  0.01352906 ... -0.04844882 -0.04902559
  0.02462564]","[-0.07861263 -0.00178027  0.01128954 ... -0.04844882 -0.04902559
  0.02462564]",0,14,DBSCAN_0_AGG_14
2181,isPartOf,Methamphetamine frequency imputation indicator is part of the broader category of substance use.,"[-0.04171985  0.01856231  0.05127309 ...  0.0233087  -0.03107827
  0.03092711]","[-0.00730019  0.02122961 -0.02893239 ... -0.00153401 -0.06532601
  0.01697564]","[-0.04171985  0.01856231  0.05127309 ... -0.00153401 -0.06532601
  0.01697564]",0,6,DBSCAN_0_AGG_6
2182,uses,Defines binge drinking based on the number of drinks consumed on the same occasion.,"[ 0.01780652 -0.00030075  0.05441882 ... -0.02894583 -0.03368004
 -0.00149377]","[-0.01533399  0.00679474 -0.00464571 ... -0.01935395 -0.00520193
  0.03375248]","[ 0.01780652 -0.00030075  0.05441882 ... -0.01935395 -0.00520193
  0.03375248]",0,12,DBSCAN_0_AGG_12
2183,definedBy,Binge drinking criteria vary based on the respondent's gender.,"[-0.01321992  0.00708792  0.06797601 ...  0.01848098 -0.02316849
 -0.00583107]",[0.00980219 0.04234239 0.00754749 ... 0.00799334 0.00040922 0.00910157],"[-0.01321992  0.00708792  0.06797601 ...  0.00799334  0.00040922
  0.00910157]",0,36,DBSCAN_0_AGG_36
2184,hasImputationIndicator,Indicates whether the frequency data has been imputed.,"[ 0.008736    0.01025289  0.01095971 ...  0.00958577 -0.03090956
  0.00221775]","[-0.02832724  0.03939853  0.01131308 ... -0.00488982  0.00061918
  0.01557616]","[ 0.008736    0.01025289  0.01095971 ... -0.00488982  0.00061918
  0.01557616]",0,1,DBSCAN_0_AGG_1
2185,defines,An indicator that defines whether the frequency of reported use has been imputed.,"[-0.00594492 -0.01934664  0.03737979 ... -0.00380023 -0.01360696
 -0.02782961]","[ 0.00058584  0.04441791  0.00547835 ... -0.01900006 -0.00346399
  0.01877487]","[-0.00594492 -0.01934664  0.03737979 ... -0.01900006 -0.00346399
  0.01877487]",0,36,DBSCAN_0_AGG_36
2186,isDefinedAs,Binge alcohol frequency for males in the past month.,"[-0.05248234 -0.02096834  0.03563388 ...  0.0101306  -0.04033792
  0.0454724 ]","[-0.0200742   0.04392828  0.00405762 ... -0.02593556 -0.03108181
  0.03524478]","[-0.05248234 -0.02096834  0.03563388 ... -0.02593556 -0.03108181
  0.03524478]",0,36,DBSCAN_0_AGG_36
2187,isDefinedAs,Binge alcohol frequency for females in the past month.,"[-0.05248234 -0.02096834  0.03563388 ...  0.0101306  -0.04033792
  0.0454724 ]","[-0.0129744   0.03171521  0.00993031 ... -0.02587158 -0.02086459
  0.03197264]","[-0.05248234 -0.02096834  0.03563388 ... -0.02587158 -0.02086459
  0.03197264]",0,36,DBSCAN_0_AGG_36
2188,hasImputedValue,Pain relievers misuse frequency data is revised through imputation.,"[-0.01921076  0.02903731 -0.01171445 ... -0.00838101 -0.00819143
  0.03086992]","[-0.01064808  0.03616059  0.04719457 ... -0.02708471 -0.01625083
  0.01542185]","[-0.01921076  0.02903731 -0.01171445 ... -0.02708471 -0.01625083
  0.01542185]",0,1,DBSCAN_0_AGG_1
2189,isComparableTo,Comparability of binge alcohol frequency with data collected prior to 2015.,"[-0.03587292 -0.02901364 -0.03598356 ...  0.01685778 -0.02299794
  0.02295646]","[-0.03128862  0.01233155 -0.01941679 ... -0.00512125  0.0117907
  0.02011991]","[-0.03587292 -0.02901364 -0.03598356 ... -0.00512125  0.0117907
  0.02011991]",0,4,DBSCAN_0_AGG_4
2190,measuredBy,Relates the frequency of pain reliever misuse to whether imputation was used.,"[ 0.02250335 -0.01708175  0.05335448 ... -0.02440462  0.00896421
  0.01160816]","[-0.01590913  0.0124798   0.01501452 ... -0.0143883  -0.01719141
  0.03488976]","[ 0.02250335 -0.01708175  0.05335448 ... -0.0143883  -0.01719141
  0.03488976]",0,19,DBSCAN_0_AGG_19
2191,dependsOn,Relates binge alcohol frequency to the gender of the respondent.,"[-0.01646288 -0.00255743  0.06314614 ... -0.00168798 -0.04629897
  0.00311081]","[-0.02280135  0.0275855   0.00394126 ... -0.00092535  0.00281852
  0.02947784]","[-0.01646288 -0.00255743  0.06314614 ... -0.00092535  0.00281852
  0.02947784]",0,36,DBSCAN_0_AGG_36
2192,occursWithin,Relates binge alcohol frequency to specific drinking occasions.,"[-0.06490843  0.02193017  0.07099169 ...  0.01847791 -0.00551296
  0.02234079]","[-4.75842617e-02  3.21147265e-03  2.71497294e-03 ... -1.43055001e-03
  7.53467248e-05  2.45227646e-02]","[-6.49084300e-02  2.19301675e-02  7.09916949e-02 ... -1.43055001e-03
  7.53467248e-05  2.45227646e-02]",0,35,DBSCAN_0_AGG_35
2193,hasMeasurementPeriod,Relates the frequency of misuse to the time period of the past month.,"[-0.04166123 -0.0107125   0.07046206 ... -0.01893938  0.00714617
 -0.00686249]","[-0.0224174   0.05125692  0.03928297 ... -0.01889124 -0.03115029
  0.01994158]","[-0.04166123 -0.0107125   0.07046206 ... -0.01889124 -0.03115029
  0.01994158]",0,19,DBSCAN_0_AGG_19
2194,hasMisuseFrequency,Relates tranquilizer misuse to the number of days in the past month,"[-0.02170963  0.03908045  0.03839373 ...  0.00596195 -0.04332561
  0.03243178]","[-0.04134448  0.02603058 -0.00460483 ... -0.00819735 -0.02665471
  0.03160204]","[-0.02170963  0.03908045  0.03839373 ... -0.00819735 -0.02665471
  0.03160204]",0,18,DBSCAN_0_AGG_18
2195,hasSurveyCategory,Associate the question content with the binge drinking definition under its category,"[-0.03317182  0.02265392 -0.04539453 ...  0.01632585  0.00777284
 -0.01441876]","[-0.00157768  0.00782267 -0.01641958 ...  0.0136075   0.01465929
  0.05101171]","[-0.03317182  0.02265392 -0.04539453 ...  0.0136075   0.01465929
  0.05101171]",0,13,DBSCAN_0_AGG_13
2196,isDefinedBy,Defines binge drinking frequency based on the respondent's sex,"[-0.05673343 -0.0068915   0.06150818 ...  0.01161063 -0.05157315
  0.02786255]","[-0.02210472  0.0472628   0.02694133 ... -0.00152988 -0.00422722
  0.03402306]","[-0.05673343 -0.0068915   0.06150818 ... -0.00152988 -0.00422722
  0.03402306]",0,36,DBSCAN_0_AGG_36
2197,hasFrequency,Relates the frequency of tranquilizers misuse to binge alcohol frequency definitions.,"[-0.06457784 -0.00980745  0.02644878 ... -0.00606182  0.01161912
  0.00624528]","[-0.026497    0.03727356  0.01377622 ...  0.00983222 -0.00934616
  0.01485943]","[-0.06457784 -0.00980745  0.02644878 ...  0.00983222 -0.00934616
  0.01485943]",0,41,DBSCAN_0_AGG_41
2198,imputationStatus,Indicates whether the frequency data has been imputed.,"[-0.01001913  0.00102753  0.00662413 ...  0.01175165 -0.02702733
  0.0418754 ]","[-0.02837358  0.0393922   0.01129854 ... -0.00488267  0.0006497
  0.01554821]","[-0.01001913  0.00102753  0.00662413 ... -0.00488267  0.0006497
  0.01554821]",0,1,DBSCAN_0_AGG_1
2199,definedBy,Defines the term 'occasion' included in the binge alcohol frequency.,"[-0.01321992  0.00708792  0.06797601 ...  0.01848098 -0.02316849
 -0.00583107]","[-0.01121442  0.01999481 -0.0186334  ...  0.01437041  0.00312161
  0.02876833]","[-0.01321992  0.00708792  0.06797601 ...  0.01437041  0.00312161
  0.02876833]",0,36,DBSCAN_0_AGG_36
2200,influencedBy,The frequency definition is influenced by the sex of the respondent starting from 2015.,"[-0.00757982 -0.0166201   0.02012522 ... -0.04308375  0.00337915
  0.0112675 ]","[ 0.00246108  0.00769285  0.06103325 ... -0.0114225   0.01026185
 -0.00558032]","[-0.00757982 -0.0166201   0.02012522 ... -0.0114225   0.01026185
 -0.00558032]",0,36,DBSCAN_0_AGG_36
2201,hasMisuseFrequency,Describes the frequency of stimulant misuse in the past month,"[-0.02170963  0.03908045  0.03839373 ...  0.00596195 -0.04332561
  0.03243178]","[-0.01303391  0.02180866  0.03159477 ... -0.03293378 -0.06005571
  0.03270586]","[-0.02170963  0.03908045  0.03839373 ... -0.03293378 -0.06005571
  0.03270586]",0,18,DBSCAN_0_AGG_18
2202,classifiedBy,Classifies the alcohol consumption by binge drinking frequency,"[-0.01315622  0.03071364  0.01398906 ...  0.01083374 -0.00813884
 -0.02157268]","[-0.04429754  0.03077329  0.01832398 ...  0.0117056  -0.00446538
  0.0180365 ]","[-0.01315622  0.03071364  0.01398906 ...  0.0117056  -0.00446538
  0.0180365 ]",0,25,DBSCAN_0_AGG_25
2203,hasGenderCriteria,Defines the binge drinking frequency based on gender,"[ 0.00502003  0.03190814  0.03460093 ...  0.00625423 -0.0071844
 -0.01069878]","[-0.01260109  0.04032858  0.03053268 ... -0.00334269 -0.00250463
  0.02656343]","[ 0.00502003  0.03190814  0.03460093 ... -0.00334269 -0.00250463
  0.02656343]",0,36,DBSCAN_0_AGG_36
2204,hasDrinkThreshold,Specifies the number of drinks constituting a binge episode,"[-0.04137826 -0.00984976 -0.00146413 ...  0.00098043 -0.0010331
  0.03240988]","[-0.01011812  0.01329311 -0.00278074 ... -0.01462591 -0.00592782
  0.05423311]","[-0.04137826 -0.00984976 -0.00146413 ... -0.01462591 -0.00592782
  0.05423311]",0,36,DBSCAN_0_AGG_36
2205,occursWithin,Specifies that the frequency of misuse occurs within the past month,"[-0.06490843  0.02193017  0.07099169 ...  0.01847791 -0.00551296
  0.02234079]","[-0.03028834  0.05577737  0.03303916 ... -0.02960063 -0.03274652
  0.03941874]","[-0.06490843  0.02193017  0.07099169 ... -0.02960063 -0.03274652
  0.03941874]",0,35,DBSCAN_0_AGG_35
2206,hasFrequencyMeasurement,Indicates if the measurement of stimulant misuse frequency in the past month involved imputation.,"[-0.05957799 -0.01064295  0.03837656 ... -0.02213058  0.00721496
 -0.0054517 ]","[-0.0123106   0.01891629  0.00100533 ... -0.02760948 -0.05719209
  0.01276099]","[-0.05957799 -0.01064295  0.03837656 ... -0.02760948 -0.05719209
  0.01276099]",0,41,DBSCAN_0_AGG_41
2207,relatedTo,Defines how binge alcohol frequency is measured in terms of occasions within a specified timeframe.,"[-0.02368136 -0.00865122  0.02264102 ...  0.04982667  0.00767249
  0.0043085 ]","[-0.03676667  0.00881027  0.01123214 ... -0.00384893  0.00703042
  0.06015902]","[-0.02368136 -0.00865122  0.02264102 ... -0.00384893  0.00703042
  0.06015902]",0,14,DBSCAN_0_AGG_14
2208,hasSexSpecificDefinition,Defines how binge alcohol frequency measurements differ based on the sex of the respondent.,"[ 0.00255939  0.01473655  0.03880779 ...  0.04272529 -0.03795084
  0.00542865]","[-0.00984256  0.02594323  0.03273479 ...  0.00796902 -0.01282199
  0.04238869]","[ 0.00255939  0.01473655  0.03880779 ...  0.00796902 -0.01282199
  0.04238869]",0,36,DBSCAN_0_AGG_36
2209,hasFrequency,Relates the misuse of sedatives to the past month.,"[-0.06457784 -0.00980745  0.02644878 ... -0.00606182  0.01161912
  0.00624528]","[-0.0009335   0.04156516  0.00959616 ... -0.00398736 -0.04041144
  0.00261341]","[-0.06457784 -0.00980745  0.02644878 ... -0.00398736 -0.04041144
  0.00261341]",0,41,DBSCAN_0_AGG_41
