entity,question_code,description
UnderageDrinker,UADFWHO,A respondent who is under the age of 21.
Person,UADFWHO,The individual who provided alcohol to the underage drinker.
AlcoholReceiptMethod,UADFWHO,Method or circumstances under which an underage drinker obtained alcohol.
AlcoholNonUser,UADFWHO,A respondent who did not use alcohol in the past month.
SelfPaidAlcohol,UADFWHO,Past-month alcohol users under 21 who paid for the alcohol themselves.
AlcoholUse,UADFRD,Alcohol consumption tracked by who provided the most recent alcohol.
FriendProvider,UADFRD,The friend who gave the respondent their most recent alcohol.
NonFriendProvider,UADFRD,A non-friend who gave the respondent their most recent alcohol.
SurveyRespondent,UADFRD,An individual participating in the NSDUH survey.
AlcoholSource,UADFRD,The source from which the respondent received their most recent alcohol.
AlcoholUseStatus,UADFRD,The alcohol use status of the respondent in the past month.
Substance,CADRKMARJ2,Marijuana used at the same time or within a couple of hours of last alcohol use.
SubstanceUseBehavior,CADRKMARJ2,Behavior regarding the concurrent use of marijuana and last alcohol use.
Alcohol,CADRKMARJ2,Alcohol use behavior.
Respondent,CADRKCOCN2,An individual who participated in the survey.
Substance,CADRKCOCN2,A specific drug (Cocaine) used by the respondent.
AlcoholUse,CADRKCOCN2,Respondent's use of alcohol.
ConcurrentUse,CADRKCOCN2,The simultaneous or within a couple of hours use of cocaine and alcohol.
Substance,CADRKHERN2,Heroin as a substance used.
AlcoholUse,CADRKHERN2,Last alcohol use.
RC,CADRKHERN2,Respondent Characteristic.
SubstanceUse,CADRKHALL2,Records use of hallucinogens at the same time or within a couple of hours of last alcohol use.
AlcoholUse,CADRKHALL2,Tracks last instance of alcohol use.
HallucinogenUse,CADRKHALL2,Tracks use of hallucinogens.
AlcoholUse,CADRKINHL2,Last alcohol use of the respondent.
InhalantUse,CADRKINHL2,Use of inhalants by the respondent.
Methamphetamine,,The substance methamphetamine referred to in the context of its use with the last alcohol consumption.
Alcohol,,The substance alcohol referred to in the context of its use with methamphetamine.
Respondent,,Individual providing the survey responses.
SubstanceUseInstance,,"An episode of substance use, specifically involving methamphetamine and alcohol."
CBD_HEMP_Usage,CBDHMPEVR,Indicates whether the respondent has ever used CBD or hemp products.
CBD_Hemp_Products,CBDHMPEVR,"Products derived from hemp plants, including oils, lotions, edibles, and isolates which have no or small amounts of THC."
Usage_Reason,CBDHMPEVR,"Reasons for using CBD or hemp products, such as relieving pain, reducing anxiety, or aiding sleep."
CBD or Hemp Product Usage,CBDHMPREC,Usage of CBD or hemp products by the respondent.
Time Since Last Use,CBDHMPREC,The time duration since the respondent last used any CBD or hemp product.
SubstanceUse,MJEVER,Any form of use of marijuana or cannabis products.
Marijuana,MJEVER,"Marijuana, also referred to as pot, weed, or hashish."
CannabisProduct,MJEVER,"Cannabis products like concentrates and different forms including dabbing, eating or drinking, vaping, and applying as lotion."
CBD,MJEVER,CBD products that are excluded from the questions about marijuana or cannabis use.
HempProduct,MJEVER,Hemp products that are excluded from the questions about marijuana or cannabis use.
MethodOfUse,MJEVER,"Different methods of marijuana or cannabis product usage (e.g., smoking, vaping, dabbing, eating, drinking, applying as lotion)."
AgeWhenFirstUsedMarijuanaOrCannabis,MJAGE,Age when the respondent first used marijuana or any cannabis product.
MarijuanaOrCannabis,MJAGE,Marijuana or any cannabis product.
Marijuana/Cannabis Use,MJYFU,First use of marijuana or any cannabis product.
Year,MJYFU,Calendar year.
Month,MJYFU,Calendar month.
Marijuana/Cannabis Use,MJMFU,Recode of the month of first use of marijuana or any cannabis product.
First Use Date,MJMFU,The specific month and year when marijuana or cannabis product was first used.
Current Year,MJMFU,The current year in which the survey is being conducted.
Previous Year of First Use,MJMFU,The year from a previous response (MJ03a or MJ03b) when marijuana or any cannabis product was first used.
Marijuana/Cannabis,MJREC,A substance referring to marijuana or any cannabis product.
UsageTime,MJREC,The time elapsed since the last use of marijuana or any cannabis product.
Respondent,MJREC,The individual who is answering the survey question.
MarijuanaUsage,MJYRTOT,Total number of days used marijuana/cannabis in the past 12 months.
MarijuanaCannabisProduct,MJYRTOT,Refers to marijuana or any cannabis product.
TimePeriod,MJYRTOT,The past 12 months duration.
MarijuanaUse,MRTOTFG,The use of marijuana or any cannabis product.
TimeSinceLastUse,MRTOTFG,The duration since the respondent last used marijuana or any cannabis product.
SubstanceUse,MJFQFLG,Usage of marijuana or any cannabis product.
Recency,MJFQFLG,The length of time since the last use of marijuana or any cannabis product.
Substance,MRBSTWAY,Use of marijuana or any cannabis product.
SurveyPeriod,MRBSTWAY,"The past 12 months, from [DATEFILL] through today."
UsageFrequency,MRBSTWAY,Number of days marijuana or any cannabis product was used in the past 12 months.
EasiestWayToReport,MRBSTWAY,The easiest way the respondent can report the number of days marijuana or any cannabis product was used.
Marijuana/Cannabis,MRDAYPYR,The use of marijuana or any cannabis product.
UsageFrequency,MRDAYPYR,Number of days marijuana/cannabis was used in the past 12 months.
TimePeriod,MRDAYPYR,Past 12 months
MarijuanaUsage,MRDAYPMO,Number of days marijuana or any cannabis product was used each month during the past 12 months.
SurveyPeriod,MRDAYPMO,The past 12 months.
DrugUse,MRDAYPWK,Use of marijuana or cannabis products.
Frequency,MRDAYPWK,The number of days per week.
TimePeriod,MRDAYPWK,Past 12 months.
Respondent,MRDAYPWK,The individual answering the survey.
MarijuanaUsage,MJDAY30A,Number of days the respondent used marijuana or any cannabis product in the past 30 days.
SurveyPeriod,MJDAY30A,"The time period over which the survey question is asking about usage, specified as the past 30 days."
Drug_Use,MR30EST,The use of marijuana or any cannabis product.
Time_Period,MR30EST,The past 30 days.
Survey_Respondent,MR30EST,The individual providing the response.
MarijuanaUse,MJYRSMOKE,Respondent's marijuana use by smoking in the past 12 months.
CannabisUse,MJYRSMOKE,Respondent's use of any cannabis product in the past 12 months.
SurveyPeriod,MJYRSMOKE,"The past 12 months, that is, since [DATEFILL]."
UsageMethod,MJYRSMOKE,"The method of marijuana or cannabis product usage (e.g., smoking)."
MarijuanaUse,MJYRVAPE,Usage of marijuana or any cannabis product by vaping in the past 12 months.
TimePeriod,MJYRVAPE,Past 12 months.
CannabisProductType,MJYRVAPE,Different types of marijuana or cannabis products used.
SubstanceUse,MJYRDAB,Use of marijuana or any cannabis product.
MethodOfConsumption,MJYRDAB,"Specific ways of using marijuana or cannabis products such as dabbing waxes, shatter, or concentrate."
SurveyPeriod,MJYRDAB,Period during the past 12 months.
Respondent,MJYRDAB,Individual answering the survey.
MarijuanaUsage,MJYREAT,Ways in which marijuana or cannabis products were used in the past 12 months
SurveyPeriod,,The time period of the past 12 months
CannabisProduct,,Any product derived from cannabis
MarijuanaUseMethod,MJYRMOUTH,Methods of marijuana or cannabis product use in the past 12 months.
SurveyPeriod,MJYRMOUTH,The time period of the past 12 months.
Substance,MJYRSKIN,Marijuana or any cannabis product
UsageMethod,MJYRSKIN,"Use of lotion, cream, or patch to skin"
TimePeriod,MJYRSKIN,Past 12 months
SubstanceUseMethod,MJYRPILL,The method by which marijuana or any cannabis product was used in the past 12 months.
Substance,MJYRPILL,Marijuana or cannabis product.
TimePeriod,MJYRPILL,Past 12 months.
MarijuanaUse,MJYROTHER,Usage of marijuana or any cannabis product in the past 12 months.
TimePeriod,MJYROTHER,The past 12 months since a specific date.
ConsumptionMethod,MJYROTHER,Different ways in which marijuana or cannabis products were used.
Survey,MJMONSMOKE,The survey related to marijuana usage methods in the past 30 days.
MarijuanaUsageMethod,MJMONSMOKE,Various methods of marijuana or cannabis product usage.
SurveyPeriod,MJMONSMOKE,The time period covering the last 30 days.
Respondent,MJMONSMOKE,The individual answering the survey.
DateFill,MJMONSMOKE,Specific date or reference time since when the past 30 days are calculated.
MarijuanaUse,MJMONVAPE,Usage of marijuana or any cannabis product in the past 30 days.
TimePeriod,MJMONVAPE,The past 30 days period for survey responses.
MethodOfConsumption,MJMONVAPE,The method by which marijuana or any cannabis product was used.
Substance,MJMONDAB,Marijuana or any cannabis product.
ModeOfUse,MJMONDAB,"Dabbing waxes, shatter, or concentrate."
TimePeriod,MJMONDAB,Past 30 days since [DATEFILL].
SubstanceUse,MJMONEAT,Usage of marijuana or cannabis products
ConsumptionMethod,MJMONEAT,Method of consuming marijuana or cannabis (eating or drinking)
SurveyPeriod,MJMONEAT,The past 30 days since [DATEFILL]
SubstanceUseMethod,,"Methods of using marijuana or any cannabis product such as drops, strips, lozenges, or sprays in mouth."
TimePeriod,,"The time frame during which the respondent's marijuana or cannabis use is assessed, specifically the past 30 days."
SurveyRespondent,,The individual who is responding to the survey.
SurveyDate,,[DATEFILL] represents a placeholder for the specific date or period the survey refers to.
MarijuanaUse,MJMONSKIN,Usage of marijuana in different forms over the past 30 days.
ApplicationMethod,MJMONSKIN,Method of marijuana application (lotion/cream/patch).
TimePeriod,MJMONSKIN,The time period of the past 30 days since the provided date.
MarijuanaUsage,MJMONPILL,The ways in which marijuana or any cannabis product was used by the respondent in the past 30 days.
DateFill,MJMONPILL,The specific date since from which the past 30 days are considered.
Respondent,MJMONPILL,The participant of the survey providing details on marijuana usage.
MarijuanaUse,MJANYMEDYR,Any marijuana use in the past 12 months recommended by a doctor or other healthcare professional.
DoctorRecommendation,MJANYMEDYR,Recommendation by a doctor or other healthcare professional for marijuana or cannabis product use.
SurveyRespondent,MJANYMEDYR,Individual who has responded to the survey.
TimePeriod,MJANYMEDYR,The past 12 months.
Substance,MJALLMEDYR,Marijuana or cannabis
TimePeriod,MJALLMEDYR,Past 12 months
HealthcareProfessional,MJALLMEDYR,Doctor or other health care professional
Recommendation,MJALLMEDYR,Recommendation by doctor or other health care professional
State,MEDMJPA2,A U.S. state where the respondent is residing.
MedicalMarijuanaLaw,MEDMJPA2,Law allowing the use of marijuana for medical reasons.
Respondent,MEDMJPA2,Individual participating in the survey.
InterviewDate,MEDMJPA2,The date when the interview took place.
MarijuanaUse,,Indicates whether the respondent paid for or bought marijuana in the past 12 months.
TimePeriod,,The past 12 months time frame for the question.
MarijuanaSource,,The source or method through which the respondent acquired marijuana or cannabis products.
Respondent,,The individual answering the survey question.
ExclusionCriteria,,Excludes CBD or hemp products from the responses.
Substance,MKMTRADEYR,Marijuana or cannabis products
TimePeriod,MKMTRADEYR,Past 12 months
TransactionType,MKMTRADEYR,Traded something for marijuana or cannabis products
Exclusion,MKMTRADEYR,Excludes CBD and hemp products
Respondent,MKMTRADEYR,Individual answering the survey
Substance,MKMFREEYR,Marijuana or cannabis products received for free or shared from someone else during the past 12 months.
TimePeriod,MKMFREEYR,The past 12 months.
MeansOfAcquisition,MKMFREEYR,Received for free or shared from someone else.
MarijuanaUse,MKMGREWYR,The act of growing one's own marijuana in the past 12 months.
TimePeriod,MKMGREWYR,The past 12 months.
Substance,MKMGREWYR,Marijuana or cannabis products.
Exclusion,MKMGREWYR,CBD or hemp products are not to be included.
MarijuanaUsage,MKMOTHWAYYR,Usage of marijuana through an unknown source in the past 12 months.
SurveyRespondent,MKMOTHWAYYR,Individuals participating in the NSDUH survey.
TimePeriod,MKMOTHWAYYR,Past 12 months period referenced in the survey.
Marijuana,MKMBGHTREC,Marijuana or cannabis products.
PurchaseTime,MKMBGHTREC,The time since the respondent last paid for or bought marijuana or cannabis products.
MarijuanaPurchaseDays,MKMBGHT30N2,Number of days paid for or bought marijuana or cannabis products in the past 30 days.
SurveyPeriod,MKMBGHT30N2,The past 30 days prior to the survey date.
EconomicActivity,MKMBGHT30N2,Economic activities related to the purchase of marijuana or cannabis products.
Marijuana,MKMAMTPDCOM2,Refers to marijuana or cannabis products bought or paid for.
PaymentAmount,MKMAMTPDCOM2,The amount of money paid for marijuana or cannabis products.
SurveyPeriod,MKMAMTPDCOM2,The period of the past 30 days.
Respondent,MKMAMTPDCOM2,Individual who answers the survey.
Substance,MKMBGHTDISP,Marijuana or cannabis products.
Location,MKMBGHTDISP,Store or dispensary.
PurchaseEvent,MKMBGHTDISP,The act of buying marijuana or cannabis products.
SurveyRespondent,MKMBGHTDISP,Individual responding to the survey.
MarijuanaPurchase,MKMBGHTKNW,The act of paying for or buying marijuana or cannabis products.
FamiliarityLevel,MKMBGHTKNW,The level of familiarity with the person the respondent bought marijuana or cannabis products from.
Person,MKMBGHTKNW,The individual from whom the respondent bought marijuana or cannabis products.
MarijuanaPurchaseInstance,MKMBGHTJNT,Instance record of marijuana purchase.
MarijuanaForm,MKMBGHTJNT,The form of marijuana or cannabis product purchased.
PaymentOccasion,MKMBGHTJNT,Occasion when the respondent paid for or bought marijuana.
Substance,MKMBGHTLOO,Marijuana or cannabis products in loose form.
Purchase,MKMBGHTLOO,The act of buying or paying for marijuana or cannabis products.
TimePeriod,MKMBGHTLOO,The past 12 months time frame.
Marijuana,,The substance marijuana in various forms is noted here.
Vaping Cartridge,,Refers to the cartridge used in vaping which contains marijuana.
Vaping Oil,,Refers to the oil used in vaping which contains marijuana.
Vaping Pen,,Refers to the pen used in vaping which contains marijuana.
Purchase,,The act of buying or paying for marijuana.
Respondent,,The individual answering the survey.
Time Period,,The period of the past 12 months.
Marijuana,MKMBGHTDAB,"Marijuana or cannabis products in the form of waxes, shatter, or concentrate."
Purchase,MKMBGHTDAB,Act of buying or paying for marijuana or cannabis products.
Substance,,Marijuana or cannabis products
Transaction,,Any purchase of marijuana or cannabis products
Form,,"Forms of marijuana or cannabis products (e.g., edibles for eat or drink)"
MarijuanaPurchase,,Details about the last purchase of marijuana by the respondent.
MarijuanaForm,,"The forms of marijuana or cannabis products bought, such as drop, strip, lozenge, or spray."
TimePeriod,,"Time frame during which the respondent bought marijuana, specified as the past 12 months."
MarijuanaPurchase,MKMBGHTLTN,The action of buying marijuana or cannabis products.
MarijuanaForm,MKMBGHTLTN,"Forms of marijuana or cannabis products, such as lotion, cream, or patch."
TransactionType,MKMBGHTLTN,Type of transaction involving the purchase of marijuana.
Payment,MKMBGHTLTN,Transaction involving money or another form of exchange to obtain marijuana.
Marijuana,MKMBGHTPILL,Marijuana or cannabis products.
Purchaser,MKMBGHTPILL,Individual who paid for or bought marijuana.
PurchaseForm,MKMBGHTPILL,Forms of marijuana or cannabis products purchased.
PurchaseTimeframe,MKMBGHTPILL,The time frame during which the marijuana purchase was made (past 12 months).
MarijuanaPurchase,MKMBGHTOTH,Instances of purchasing marijuana or cannabis products in forms other than those explicitly listed.
TimePeriod,MKMBGHTOTH,The past 12 months.
MarijuanaPurchase,MKMLOOGMCOM2,"Estimated amount of loose marijuana bought last time in grams, categorized."
FormOfMarijuana,MKMLOOGMCOM2,Forms of marijuana or cannabis product bought.
ReportedPurchase,MKMLOOGMCOM2,Report of marijuana or cannabis products bought in the past 12 months.
Substance,,Refers to the drug marijuana in its loose form.
Amount,,The quantity of loose marijuana bought in ounces.
Transaction,,The event of buying loose marijuana.
MarijuanaSales,MKMSELLMRJ,Selling of marijuana or cannabis products in the past 12 months.
TimePeriod,MKMSELLMRJ,The past 12 months.
Individual,MKMSELLMRJ,The respondent or person being surveyed.
Substance,MKMSELLMRJ,Marijuana or cannabis products.
SubstanceUse,,Lifetime use of cigars with marijuana in them (blunts).
MarijuanaUse,,Lifetime or recent use of marijuana.
ConsistencyCheck,,A check applied to resolve inconsistencies between reported marijuana use and blunt use.
Blunt,,A cigar with marijuana in it.
Respondent,,Individual participating in the NSDUH survey.
Age,BLNTAGE,The age at which the respondent first smoked part or all of a cigar with marijuana in it.
Cigar with Marijuana,BLNTAGE,A cigar that contains marijuana.
Substance Use,BLNTAGE,"The use of a substance, specifically a cigar with marijuana."
SubstanceUse,BLNTYFU,Year of first use of a cigar with marijuana in it.
CigarWithMarijuana,BLNTYFU,A cigar with marijuana in it.
YearOfFirstUse,BLNTYFU,Year when the respondent first used a cigar with marijuana.
SurveyYear,BLNTYFU,The year of the survey when the respondent was first asked about using a cigar with marijuana.
Respondent,BLNTYFU,Individual who is responding to the survey.
SubstanceUseEvent,BLNTMFU,The initial use event of a cigar with marijuana during a specific month.
Month,BLNTMFU,Calendar month when the initial cigar with marijuana was used.
Year,BLNTMFU,The year when the initial cigar with marijuana was used.
Respondent,BLNTMFU,Individual providing the information regarding the first use.
BluntUse,BLNTREC,The occurrence of smoking a cigar with marijuana in it.
TimeSinceLastUse,BLNTREC,The time elapsed since the respondent last smoked part or all of a cigar with marijuana in it.
Respondent,BLNTREC,The individual who is answering the survey question.
MarijuanaUse,BLNTREC,"The act of using marijuana, as previously reported by the respondent."
SurveyPeriod,BLNTREC,"The reference time frame mentioned in the question description (e.g., past 30 days, past 12 months)."
Inconsistency,BLRECFL2,Inconsistency between reported recent use and initiation data on blunt use.
BluntInitiationAge,BLNTAGE,Age when the respondent first used blunts.
BluntPast12Months,BLNTYFU,Respondent's blunt use in the past 12 months.
BluntPast30Days,BLNTMFU,Respondent's blunt use in the past 30 days.
RecentBluntUseReported,BLNTREC,Respondent's self-reporting on recent blunt use.
CigarWithMarijuanaUsage,BLNT30DY,Number of days smoked a cigar with marijuana in it in the past 30 days.
SurveyPeriod,BLNT30DY,The period of the past 30 days.
Marijuana,BLNT30DY,Substance being used in the cigar.
Cigar,BLNT30DY,Type of tobacco product mixed with marijuana.
Respondent,BLNT30DY,Individual providing the survey response.
SubstanceUse,BLNT30DY,"The act of using a substance, in this case, marijuana within a cigar."
DateFill,BLNT30DY,Reference date used to fill in the survey period.
Survey,,The survey from which the questions are derived.
Question,,The specific question in the survey.
Question Response,,The response given to a specific question.
Answer Validation,,The validation process to check if the given answer is consistent with previous answers.
Respondent,,The individual providing answers to the survey questions.
BLNT30C2,,Question concerning the disagreement between respondent's answers.
AnswerDisagreement,,Occurs when the answer to the last question and an earlier question disagree.
Marijuana,RSNOMRJ,"Marijuana or any cannabis product, as referenced in the question."
Respondent,RSNOMRJ,Person answering the survey question.
Substance Use,RSNOMRJ,Using marijuana or any cannabis product.
Non-User,RSNOMRJ,Respondent who has never used marijuana or any cannabis product.
Reason for Non-Use,RSNOMRJ,Reason provided by the respondent explaining why they have never used marijuana or any cannabis product.
Substance,RSNMRJMO,Marijuana or any cannabis product.
NonUse,RSNMRJMO,Non-use of marijuana or any cannabis product in the past 30 days.
Respondent,RSNMRJMO,Individual who responded to the survey question.
SurveyPeriod,RSNMRJMO,Past 30 days.
CigarUsageNoMarijuana,BLNTNOMJ,Indicates whether the respondent smoked cigars without marijuana in them in the past 30 days.
Respondent,BLNTNOMJ,The individual who is taking the survey.
Survey,BLNTNOMJ,The NSDUH survey being administered.
SurveyPeriod,BLNTNOMJ,"The time period relevant to the survey question, in this case, the past 30 days."
Cocaine,,"A substance that includes different forms such as powder, 'crack,' free base, and coca paste."
CocaineUse,,"The act of using any form of cocaine, even once."
Respondent,,Individual who answers the survey question.
Cocaine,COCAGE,"A powerful stimulant drug, illegal in most contexts."
Age,COCAGE,The age of the respondent when they first used cocaine.
CocaineUse,COCYFU,First use of cocaine
Year,COCYFU,Year of first cocaine use
Month,COCYFU,Month of first cocaine use
Cocaine,,Cocaine usage in any form.
Month,,Month of first cocaine use.
Year,,Year of first cocaine use.
First Use,,Initial instance of cocaine use.
SubstanceUse,COCREC,The respondent's usage of cocaine.
TimeSinceLastUse,COCREC,The duration of time that has passed since the respondent last used cocaine.
Cocaine,COCREC,A substance that the respondent may have used.
CocaineUse,COCYRTOT,Total number of days the respondent used cocaine in the past 12 months.
TimePeriod,COCYRTOT,Past 12 months.
CocaineUse,CCTOTFG,The last time the respondent used cocaine.
TimePeriod,CCTOTFG,The duration since the last use of cocaine.
Respondent,CCTOTFG,The individual answering the survey.
CocaineUse,CCFQFLG,Time since last use of cocaine.
Respondent,CCFQFLG,Individual providing information about their cocaine use.
CocaineUseFrequency,CCBSTWAY,The number of days the respondent used cocaine in the past 12 months.
EasiestReportingMethod,CCBSTWAY,The easiest method for the respondent to report the number of days they used cocaine.
TimePeriod,CCBSTWAY,"The time period for reporting cocaine use, specified as the past 12 months from a given date."
CocaineUsageDays,CCDAYPYR,Number of days the respondent used cocaine in the past 12 months.
Respondent,CCDAYPYR,Individual responding to the survey.
TimePeriod,CCDAYPYR,The time span of the past 12 months.
CocaineUsage,CCDAYPMO,Number of days cocaine was used per month over the past year.
TimePeriod,CCDAYPMO,The past 12 months.
CocaineUsage,CCDAYPWK,The number of days per week on average that cocaine was used by the respondent during the past 12 months.
Respondent,none,The individual who is responding to the survey.
SurveyPeriod,none,"The time period over which the survey questions are focused, in this case, the past 12 months."
CocaineUsage,COCUS30A,The number of days cocaine was used in the past 30 days.
TimePeriod,COCUS30A,The past 30 days period.
Respondent,COCUS30A,The individual responding to the survey.
CocaineUsageEstimate,,Best estimate of the number of days used cocaine during the past 30 days.
Substance,,"Type of substance used, in this case, cocaine."
TimePeriod,,"Time frame considered for the estimate, which is the past 30 days."
FrequencyOfUse,,Frequency of cocaine use in the specified time period.
Substance,CRKEVER,Crack - cocaine in rock or chunk form.
Usage,CRKEVER,"Ever used crack, even once."
Respondent,CRKEVER,Individual surveyed about crack usage.
SubstanceUse,CRKAGE,Represents the age at which the respondent first used crack.
Age,CRKAGE,The age when the respondent first used crack.
Crack,CRKYFU,"The substance used by the respondent, specifically 'crack'."
YearOfFirstUse,CRKYFU,The year when the respondent first used 'crack'.
MonthOfFirstUse,CRKYFU,The month in the specified year when the respondent first used 'crack'.
CrackUseMonth,CRKMFU,The month of first crack use in the current year or the specified past year.
Crack,CRKMFU,Type of substance used.
FirstUse,CRKMFU,The initial instance of using a substance.
Respondent,CRKMFU,Individual who took the survey.
SurveyYear,CRKMFU,The calendar year of the survey.
Crack,,A type of cocaine that is commonly smoked.
TimeSinceLastUse,,Duration since the respondent last used 'crack'.
SubstanceUse,,The act of using 'crack'.
Respondent,,The individual providing information for the survey.
Crack Cocaine Usage,CRKYRTOT,Total number of days the respondent used crack in the past 12 months.
Time Period,CRKYRTOT,The past 12 months.
SubstanceUse,CRTOTFG,Indicates use of crack.
TimeSinceLastUse,CRTOTFG,Duration since the last use of crack.
Substance,CRFQFLG,"Substance used by the respondent, specifically 'crack'."
UsageDuration,CRFQFLG,Duration since the last use of the substance.
Respondent,CRFQFLG,Individual who is providing the information about substance usage.
Substance,CRBSTWAY,"Type of substance used, specifically 'crack'."
UsageDays,CRBSTWAY,The number of days the respondent has used crack in the past 12 months.
SurveyPeriod,CRBSTWAY,The past 12 months timeframe from a specified date to today.
SurveyMethod,CRBSTWAY,The easiest way for the respondent to report the number of days of usage.
CrackUse,CRDAYPYR,The number of days 'crack' was used in the past 12 months.
SubstanceUse,CRDAYPYR,The act of consuming a controlled substance.
TimePeriod,CRDAYPYR,A span of 12 months over which the usage of 'crack' was reported.
CrackUsageDaysPerMonth,CRDAYPMO,Number of days per month the respondent used crack in the past 12 months.
Crack,CRDAYPMO,A type of substance referred to in the survey.
SurveyPeriod,CRDAYPMO,The past 12 months referenced in the survey question.
Respondent,CRDAYPMO,The individual participating in the survey.
CrackUsage,,Average days per week used crack in the past 12 months.
Substance,,"Type of substance used, in this case, 'crack'."
TimePeriod,,Past 12 months reference period for substance usage.
Frequency,,Number of days per week the substance was used.
CrackUse,CRKUS30A,Number of days the respondent used crack in the past 30 days.
SurveyPeriod,CRKUS30A,The past 30 days from [DATEFILL] up to and including today.
Respondent,CRKUS30A,The individual who is answering the survey questions.
DateFill,CRKUS30A,The specific date range provided for the 30-day period.
CrackUseEstimate,CR30EST,Estimated number of days the respondent used crack in the past 30 days.
SubstanceUse,CR30EST,Instances of substance (crack) use tracked over a specified period.
SurveyPeriod,CR30EST,A time frame in which the survey respondent reports substance use.
Substance,{HEREVER},Heroin is the substance being considered in the question.
Usage,{HEREVER},"Usage refers to whether the respondent has ever used heroin, even once."
Respondent,{HEREVER},The individual answering the survey question.
HEROIN_USE_AGE,HERAGE,Age when the respondent first used heroin.
SUBSTANCE,HERAGE,Refers to heroin as a substance.
RESPONDENT,HERAGE,Individual providing the information.
HeroinUse,HERYFU,Year of first heroin use - recode.
SurveyYear,HERYFU,Survey year in which data is collected about heroin use.
FirstUseYear,HERYFU,Year in which the respondent first used heroin.
MonthOfFirstUse,HERYFU,Month in the current year when the respondent first used heroin.
HeroinUse,HERMFU,The month of first heroin use.
UsageMonth,HERMFU,The specific month in the current year or a previous year when the respondent first used heroin.
Respondent,HERMFU,Individual providing information about their heroin use.
SurveyYear,HERMFU,The referenced year which is either the current year or a specific past year.
Substance,HERREC,Heroin
UsageDuration,HERREC,Time since last used heroin
Respondent,HERREC,Individual providing response to the survey.
HeroinUsage,HERYRTOT,Total number of days used heroin in the past 12 months.
TimePeriod,HERYRTOT,Past 12 months.
SubstanceUsage,HERYRTOT,Usage of heroin.
HeroinUsage,HRTOTFG,Measure of heroin usage duration since last use.
Respondent,HRTOTFG,Individual participating in the survey.
HeroinUsage,HRFQFLG,Heroin usage status in the past 12 months.
LastHeroinUseDuration,HRFQFLG,Duration since the respondent last used heroin.
Substance,HRBSTWAY,Heroin
TimePeriod,HRBSTWAY,Past 12 months
UsageFrequency,HRBSTWAY,Number of days heroin was used in the past 12 months
SubstanceUse,HRDAYPYR,Usage of heroin by the respondent.
TimePeriod,HRDAYPYR,The past 12 months period.
Respondent,HRDAYPYR,The individual responding to the survey.
HeroinUseDaysPerMonth,HRDAYPMO,Number of days per month used heroin in the past 12 months.
Heroin,HRDAYPMO,A highly addictive opioid drug.
Past12Months,HRDAYPMO,The period of the past 12 months.
Respondent,HRDAYPMO,The individual taking part in the survey.
HeroinUseFrequency,HRDAYPWK,Number of days per week heroin was used on average during the past 12 months.
Heroin,HRDAYPWK,A highly addictive opioid drug included in the substance use category.
Past12Months,HRDAYPWK,A time period referring to the past 12 months.
Respondent,HRDAYPWK,The individual providing the survey responses.
HeroinUse,HER30USE,Number of days heroin was used by the respondent in the past 30 days.
SurveyPeriod,HER30USE,The specific past 30 days time period from a given reference date to today.
Number_Of_Days_Used_Heroin,HR30EST,The respondent's best estimate of the number of days they used heroin during the past 30 days.
Heroin,HR30EST,A specific type of substance the question is inquiring about.
Time_Period,HR30EST,The time frame of the past 30 days.
Survey_Respondent,HR30EST,The individual providing their best estimate for the survey question.
LSD,LSD,"Substance, also known as acid, classified as a hallucinogen."
Hallucinogen,LSD,Substances that often cause people to see or experience things that are not real.
SubstanceUsage,LSD,The act of using substances like LSD.
Substance,LSD,"A category of drugs that includes LSD and others like PCP, peyote, mescaline, psilocybin, etc."
Substance,PCP,"Phencyclidine, also known as angel dust."
Usage,PCP,"Usage of PCP ever, even once."
Substance,PEYOTE,"Peyote is a hallucinogenic substance derived from a small, spineless cactus."
UsageEvent,PEYOTE,An event where an individual has used peyote.
Person,PEYOTE,An individual who is a respondent in the survey.
MescalineUsage,MESC,Usage of mescaline by the respondent.
Respondent,MESC,A person who answers the survey.
Substance,PSILCY,Psilocybin (mushrooms)
Individual,PSILCY,Respondent who is answering the survey
Substance,ECSTMOLLY,Ecstasy or Molly (MDMA)
SurveyQuestion,ECSTMOLLY,"Have you ever, even once, used 'Ecstasy' or 'Molly,' also known as MDMA?"
Drug,KETMINESK,"Ketamine, also referred to as 'Special K' or 'Super K'."
SubstanceUse,KETMINESK,Usage of Ketamine at least once.
SurveyRespondent,KETMINESK,Individual taking the survey.
DMT,DMTAMTFXY,"Dimethyltryptamine, a hallucinogenic drug"
AMT,DMTAMTFXY,"Alpha-methyltryptamine, a psychoactive drug"
Foxy,DMTAMTFXY,"5-MeO-DIPT, a synthetic hallucinogen"
Substance_Use,DMTAMTFXY,"The act of using DMT, AMT, or Foxy, even once."
Respondent,DMTAMTFXY,The individual answering the survey question.
Substance,SALVIADIV,Salvia divinorum
UsageEvent,SALVIADIV,The event of using a substance.
SurveyRespondent,SALVIADIV,An individual who responds to the survey.
HallucinogenUse,HALLUCOTH,"Lifetime use of hallucinogens that are not among the specified list (LSD, PCP, Ecstasy, ketamine, DMT/AMT/Foxy, or Salvia divinorum)."
LSD,HALLUCOTH,A specific type of hallucinogen used by the respondent.
